"id";"search_log_room_id";"age";"baby_bed"
"1220";"5755";"10";"0"
"1221";"5757";"13";"0"
"1222";"5769";"4";"0"
"1223";"5770";"6";"0"
"1224";"5771";"6";"0"
"1225";"5771";"4";"0"
"1226";"5772";"6";"0"
"1227";"5772";"12";"0"
"1228";"5774";"4";"0"
"1229";"5775";"6";"0"
"1230";"5776";"6";"0"
"1231";"5776";"12";"0"
"1232";"5777";"6";"0"
"1233";"5777";"12";"0"
"1234";"5778";"6";"0"
"1235";"5778";"4";"0"
"1236";"5779";"6";"0"
"1237";"5779";"4";"0"
"1238";"5786";"10";"0"
"1239";"5789";"10";"0"
"1240";"5790";"10";"0"
"1241";"5811";"15";"0"
"1242";"5811";"17";"0"
"1243";"5813";"15";"0"
"1244";"5816";"0";"0"
"1246";"5824";"7";"0"
"1247";"5824";"4";"0"
"1248";"5824";"4";"0"
"1249";"5830";"10";"0"
"1250";"5830";"15";"0"
"1251";"5830";"14";"0"
"1252";"5844";"15";"0"
"1253";"5855";"2";"0"
"1254";"5866";"9";"0"
"1255";"5867";"9";"0"
"1256";"5868";"2";"0"
"1257";"5869";"9";"0"
"1258";"5870";"2";"0"
"1259";"5871";"9";"0"
"1260";"5875";"9";"0"
"1261";"5876";"9";"0"
"1262";"5877";"9";"0"
"1263";"5879";"9";"0"
"1264";"5883";"9";"0"
"1265";"5891";"8";"0"
"1266";"5891";"8";"0"
"1267";"5891";"5";"0"
"1268";"5893";"13";"0"
"1269";"5900";"11";"0"
"1270";"5901";"11";"0"
"1271";"5913";"13";"0"
"1272";"5914";"15";"0"
"1273";"5917";"13";"0"
"1274";"5917";"15";"0"
"1275";"5919";"7";"0"
"1276";"5919";"7";"0"
"1277";"5924";"12";"0"
"1278";"5925";"4";"0"
"1279";"5925";"4";"0"
"1280";"5928";"4";"0"
"1281";"5928";"4";"0"
"1282";"5936";"6";"0"
"1283";"5941";"13";"0"
"1284";"5941";"15";"0"
"1285";"5947";"3";"0"
"1286";"5947";"5";"0"
"1287";"5966";"5";"0"
"1288";"5972";"0";"0"
"1289";"5973";"0";"0"
"1290";"5977";"0";"0"
"1291";"5980";"0";"0"
"1293";"5999";"1";"0"
"1294";"6011";"5";"0"
"1295";"6015";"6";"0"
"1296";"6015";"11";"0"
"1297";"6020";"1";"1"
"1298";"6021";"14";"0"
"1299";"6021";"8";"0"
"1300";"6021";"3";"0"
"1301";"6022";"14";"0"
"1302";"6022";"7";"0"
"1303";"6023";"3";"0"
"1304";"6024";"2";"1"
"1305";"6040";"0";"0"
"1306";"6040";"3";"0"
"1307";"6054";"13";"0"
"1308";"6054";"15";"0"
"1309";"6055";"14";"0"
"1310";"6055";"15";"0"
"1311";"6057";"13";"0"
"1312";"6057";"15";"0"
"1313";"6058";"14";"0"
"1314";"6058";"15";"0"
"1315";"6059";"12";"0"
"1316";"6059";"15";"0"
"1317";"6060";"13";"0"
"1318";"6060";"15";"0"
"1319";"6061";"14";"0"
"1320";"6061";"15";"0"
"1321";"6062";"12";"0"
"1322";"6062";"15";"0"
"1323";"6069";"1";"0"
"1324";"6069";"2";"0"
"1325";"6076";"10";"0"
"1326";"6077";"5";"0"
"1327";"6077";"5";"0"
"1328";"6079";"2";"1"
"1329";"6080";"2";"1"
"1330";"6081";"2";"1"
"1331";"6084";"10";"0"
"1332";"6085";"10";"0"
"1333";"6086";"2";"1"
"1334";"6086";"4";"0"
"1335";"6087";"9";"0"
"1336";"6089";"1";"0"
"1337";"6089";"2";"0"
"1338";"6096";"4";"0"
"1339";"6096";"0";"1"
"1340";"6103";"15";"0"
"1341";"6103";"17";"0"
"1342";"6118";"1";"1"
"1343";"6118";"4";"0"
"1344";"6123";"15";"0"
"1345";"6123";"15";"0"
"1346";"6125";"10";"0"
"1347";"6125";"17";"0"
"1348";"6127";"10";"0"
"1349";"6127";"17";"0"
"1350";"6128";"17";"0"
"1351";"6130";"10";"0"
"1352";"6130";"17";"0"
"1353";"6132";"10";"0"
"1354";"6132";"17";"0"
"1355";"6134";"10";"0"
"1356";"6134";"17";"0"
"1357";"6135";"10";"0"
"1358";"6135";"17";"0"
"1359";"6139";"11";"0"
"1360";"6140";"11";"0"
"1361";"6142";"10";"0"
"1362";"6142";"17";"0"
"1363";"6143";"10";"0"
"1364";"6143";"17";"0"
"1365";"6144";"10";"0"
"1366";"6144";"17";"0"
"1367";"6145";"6";"0"
"1368";"6146";"6";"0"
"1369";"6148";"3";"0"
"1370";"6153";"9";"0"
"1371";"6166";"12";"0"
"1372";"6167";"13";"0"
"1373";"6173";"2";"1"
"1374";"6173";"4";"0"
"1375";"6175";"4";"0"
"1376";"6175";"7";"0"
"1377";"6175";"9";"0"
"1378";"6180";"6";"0"
"1379";"6180";"8";"0"
"1380";"6182";"9";"0"
"1381";"6183";"7";"0"
"1382";"6183";"9";"0"
"1383";"6183";"11";"0"
"1384";"6185";"8";"0"
"1385";"6185";"14";"0"
"1386";"6188";"7";"0"
"1387";"6188";"9";"0"
"1388";"6188";"11";"0"
"1389";"6189";"14";"0"
"1390";"6198";"8";"0"
"1391";"6199";"8";"0"
"1392";"6215";"16";"0"
"1393";"6215";"17";"0"
"1394";"6215";"17";"0"
