"id";"search_log_id";"adults";"children";"picked_room";"picked_price";"picked_room"
"5755";"129533";"1";"1";NULL;NULL;NULL
"5756";"129534";"1";"0";NULL;NULL;NULL
"5757";"129535";"2";"1";NULL;NULL;NULL
"5758";"129536";"2";"0";NULL;NULL;NULL
"5759";"129537";"2";"0";NULL;NULL;NULL
"5760";"129538";"2";"0";NULL;NULL;NULL
"5761";"129539";"2";"0";NULL;NULL;NULL
"5762";"129540";"2";"0";NULL;NULL;NULL
"5763";"129541";"2";"0";NULL;NULL;NULL
"5764";"129542";"2";"0";NULL;NULL;NULL
"5765";"129543";"2";"0";NULL;NULL;NULL
"5766";"129544";"2";"0";NULL;NULL;NULL
"5767";"129545";"2";"0";NULL;NULL;NULL
"5768";"129546";"2";"0";NULL;NULL;NULL
"5769";"129547";"2";"1";NULL;NULL;NULL
"5770";"129548";"2";"1";NULL;NULL;NULL
"5771";"129549";"2";"2";NULL;NULL;NULL
"5772";"129550";"1";"2";NULL;NULL;NULL
"5773";"129551";"2";"0";NULL;NULL;NULL
"5774";"129552";"2";"1";NULL;NULL;NULL
"5775";"129553";"2";"1";NULL;NULL;NULL
"5776";"129554";"1";"2";NULL;NULL;NULL
"5777";"129555";"2";"2";NULL;NULL;NULL
"5778";"129556";"2";"2";NULL;NULL;NULL
"5779";"129557";"2";"2";NULL;NULL;NULL
"5780";"129558";"2";"0";NULL;NULL;NULL
"5781";"129559";"2";"0";NULL;NULL;NULL
"5782";"129560";"1";"0";NULL;NULL;NULL
"5783";"129560";"2";"0";NULL;NULL;NULL
"5784";"129561";"1";"0";NULL;NULL;NULL
"5785";"129561";"2";"0";NULL;NULL;NULL
"5786";"129562";"1";"1";NULL;NULL;NULL
"5787";"129563";"1";"0";NULL;NULL;NULL
"5788";"129563";"2";"0";NULL;NULL;NULL
"5789";"129564";"1";"1";NULL;NULL;NULL
"5790";"129565";"1";"1";NULL;NULL;NULL
"5791";"129566";"1";"0";NULL;NULL;NULL
"5792";"129566";"2";"0";NULL;NULL;NULL
"5793";"129567";"1";"0";NULL;NULL;NULL
"5794";"129567";"2";"0";NULL;NULL;NULL
"5795";"129568";"2";"0";NULL;NULL;NULL
"5796";"129569";"2";"0";NULL;NULL;NULL
"5797";"129570";"2";"0";NULL;NULL;NULL
"5798";"129571";"2";"0";NULL;NULL;NULL
"5799";"129572";"2";"0";NULL;NULL;NULL
"5800";"129573";"2";"0";NULL;NULL;NULL
"5801";"129574";"2";"0";NULL;NULL;NULL
"5802";"129575";"2";"0";NULL;NULL;NULL
"5803";"129576";"2";"0";NULL;NULL;NULL
"5804";"129577";"2";"0";NULL;NULL;NULL
"5805";"129578";"2";"0";NULL;NULL;NULL
"5806";"129579";"2";"0";NULL;NULL;NULL
"5807";"129580";"2";"0";NULL;NULL;NULL
"5808";"129581";"2";"0";NULL;NULL;NULL
"5809";"129582";"2";"0";NULL;NULL;NULL
"5810";"129583";"2";"0";NULL;NULL;NULL
"5811";"129584";"1";"2";NULL;NULL;NULL
"5812";"129585";"2";"0";NULL;NULL;NULL
"5813";"129586";"1";"1";NULL;NULL;NULL
"5814";"129587";"2";"0";NULL;NULL;NULL
"5815";"129588";"3";"0";NULL;NULL;NULL
"5816";"129589";"2";"1";NULL;NULL;NULL
"5817";"129589";"0";"0";NULL;NULL;NULL
"5818";"129590";"2";"0";NULL;NULL;NULL
"5819";"129591";"2";"0";NULL;NULL;NULL
"5820";"129592";"2";"0";NULL;NULL;NULL
"5821";"129593";"2";"0";NULL;NULL;NULL
"5823";"129595";"2";"0";NULL;NULL;NULL
"5824";"129596";"2";"3";NULL;NULL;NULL
"5825";"129597";"2";"0";NULL;NULL;NULL
"5826";"129598";"2";"0";NULL;NULL;NULL
"5827";"129599";"2";"0";NULL;NULL;NULL
"5828";"129600";"2";"0";NULL;NULL;NULL
"5829";"129601";"2";"0";NULL;NULL;NULL
"5830";"129602";"2";"3";NULL;NULL;NULL
"5831";"129603";"2";"0";NULL;NULL;NULL
"5832";"129604";"2";"0";NULL;NULL;NULL
"5833";"129605";"1";"0";NULL;NULL;NULL
"5834";"129606";"2";"0";NULL;NULL;NULL
"5835";"129607";"2";"0";NULL;NULL;NULL
"5836";"129608";"2";"0";NULL;NULL;NULL
"5837";"129609";"2";"0";NULL;NULL;NULL
"5838";"129610";"2";"0";NULL;NULL;NULL
"5839";"129611";"2";"0";NULL;NULL;NULL
"5840";"129611";"2";"0";NULL;NULL;NULL
"5841";"129612";"2";"0";NULL;NULL;NULL
"5842";"129613";"2";"0";NULL;NULL;NULL
"5843";"129614";"2";"0";NULL;NULL;NULL
"5844";"129615";"2";"1";NULL;NULL;NULL
"5845";"129616";"2";"0";NULL;NULL;NULL
"5846";"129617";"2";"0";NULL;NULL;NULL
"5847";"129618";"2";"0";NULL;NULL;NULL
"5848";"129619";"2";"0";NULL;NULL;NULL
"5849";"129620";"2";"0";NULL;NULL;NULL
"5850";"129621";"2";"0";NULL;NULL;NULL
"5851";"129622";"2";"0";NULL;NULL;NULL
"5852";"129623";"2";"0";NULL;NULL;NULL
"5853";"129624";"2";"0";NULL;NULL;NULL
"5854";"129624";"2";"0";NULL;NULL;NULL
"5855";"129625";"2";"1";NULL;NULL;NULL
"5856";"129626";"2";"0";NULL;NULL;NULL
"5857";"129627";"2";"0";NULL;NULL;NULL
"5858";"129628";"2";"0";NULL;NULL;NULL
"5859";"129629";"2";"0";NULL;NULL;NULL
"5860";"129630";"2";"0";NULL;NULL;NULL
"5861";"129631";"3";"0";NULL;NULL;NULL
"5862";"129632";"2";"0";NULL;NULL;NULL
"5863";"129633";"3";"0";NULL;NULL;NULL
"5864";"129634";"3";"0";NULL;NULL;NULL
"5865";"129635";"2";"0";NULL;NULL;NULL
"5866";"129636";"1";"1";NULL;NULL;NULL
"5867";"129637";"1";"1";NULL;NULL;NULL
"5868";"129638";"2";"1";NULL;NULL;NULL
"5869";"129639";"1";"1";NULL;NULL;NULL
"5870";"129640";"2";"1";"LAX";"166892.00";"ROOMAA"
"5871";"129641";"1";"1";NULL;NULL;NULL
"5872";"129642";"2";"0";NULL;NULL;NULL
"5873";"129643";"2";"0";NULL;NULL;NULL
"5875";"129645";"1";"1";NULL;NULL;NULL
"5876";"129646";"1";"1";NULL;NULL;NULL
"5877";"129647";"1";"1";NULL;NULL;NULL
"5878";"129648";"2";"0";NULL;NULL;NULL
"5879";"129649";"1";"1";"STN";"87577.00";"ROOMBB"
"5880";"129650";"2";"0";NULL;NULL;NULL
"5881";"129651";"2";"0";NULL;NULL;NULL
"5882";"129652";"2";"0";NULL;NULL;NULL
"5883";"129653";"1";"1";NULL;NULL;NULL
"5884";"129654";"1";"0";NULL;NULL;NULL
"5885";"129655";"2";"0";NULL;NULL;NULL
"5886";"129656";"2";"0";NULL;NULL;NULL
"5887";"129657";"2";"0";NULL;NULL;NULL
"5888";"129658";"2";"0";NULL;NULL;NULL
"5889";"129659";"2";"0";NULL;NULL;NULL
"5890";"129660";"2";"0";NULL;NULL;NULL
"5891";"129661";"2";"3";NULL;NULL;NULL
"5892";"129662";"2";"0";NULL;NULL;NULL
"5893";"129663";"2";"1";NULL;NULL;NULL
"5895";"129665";"2";"0";NULL;NULL;NULL
"5897";"129667";"2";"0";NULL;NULL;NULL
"5898";"129668";"2";"0";NULL;NULL;NULL
"5900";"129670";"2";"1";NULL;NULL;NULL
"5901";"129671";"2";"1";NULL;NULL;NULL
"5904";"129674";"2";"0";NULL;NULL;NULL
"5905";"129675";"2";"0";NULL;NULL;NULL
"5906";"129676";"2";"0";NULL;NULL;NULL
"5907";"129677";"2";"0";NULL;NULL;NULL
"5908";"129678";"2";"0";NULL;NULL;NULL
"5909";"129679";"2";"0";NULL;NULL;NULL
"5910";"129680";"2";"0";NULL;NULL;NULL
"5911";"129681";"2";"0";NULL;NULL;NULL
"5912";"129682";"2";"0";NULL;NULL;NULL
"5913";"129683";"1";"1";NULL;NULL;NULL
"5914";"129683";"1";"1";NULL;NULL;NULL
"5915";"129684";"2";"0";NULL;NULL;NULL
"5916";"129685";"2";"0";NULL;NULL;NULL
"5917";"129686";"2";"2";NULL;NULL;NULL
"5918";"129687";"2";"0";NULL;NULL;NULL
"5919";"129688";"2";"2";NULL;NULL;NULL
"5920";"129689";"2";"0";NULL;NULL;NULL
"5921";"129690";"3";"0";NULL;NULL;NULL
"5922";"129691";"2";"0";NULL;NULL;NULL
"5923";"129692";"2";"0";NULL;NULL;NULL
"5924";"129693";"2";"1";NULL;NULL;NULL
"5925";"129694";"2";"2";NULL;NULL;NULL
"5926";"129695";"2";"0";NULL;NULL;NULL
"5927";"129696";"2";"0";NULL;NULL;NULL
"5928";"129697";"2";"2";NULL;NULL;NULL
"5929";"129698";"2";"0";NULL;NULL;NULL
"5930";"129699";"2";"0";NULL;NULL;NULL
"5931";"129700";"2";"0";NULL;NULL;NULL
"5932";"129701";"2";"0";NULL;NULL;NULL
"5933";"129702";"2";"0";NULL;NULL;NULL
"5934";"129703";"2";"0";NULL;NULL;NULL
"5935";"129704";"2";"0";NULL;NULL;NULL
"5936";"129705";"2";"1";NULL;NULL;NULL
"5937";"129706";"2";"0";NULL;NULL;NULL
"5938";"129707";"2";"0";NULL;NULL;NULL
"5940";"129709";"2";"0";NULL;NULL;NULL
"5941";"129710";"2";"2";NULL;NULL;NULL
"5943";"129712";"2";"0";NULL;NULL;NULL
"5944";"129713";"2";"0";NULL;NULL;NULL
"5945";"129714";"2";"0";NULL;NULL;NULL
"5946";"129715";"2";"0";NULL;NULL;NULL
"5947";"129716";"2";"2";NULL;NULL;NULL
"5948";"129717";"1";"0";NULL;NULL;NULL
"5949";"129718";"1";"0";NULL;NULL;NULL
"5950";"129718";"2";"0";NULL;NULL;NULL
"5951";"129719";"2";"0";NULL;NULL;NULL
"5952";"129720";"2";"0";NULL;NULL;NULL
"5953";"129721";"2";"0";NULL;NULL;NULL
"5954";"129722";"2";"0";NULL;NULL;NULL
"5955";"129723";"2";"0";NULL;NULL;NULL
"5956";"129724";"2";"0";NULL;NULL;NULL
"5957";"129725";"2";"0";NULL;NULL;NULL
"5958";"129726";"2";"0";NULL;NULL;NULL
"5959";"129727";"2";"0";NULL;NULL;NULL
"5960";"129728";"2";"0";NULL;NULL;NULL
"5961";"129729";"2";"0";NULL;NULL;NULL
"5962";"129729";"2";"0";NULL;NULL;NULL
"5963";"129730";"2";"0";"STN";"110117.00";"ROOMBB"
"5964";"129731";"2";"0";NULL;NULL;NULL
"5965";"129732";"2";"0";NULL;NULL;NULL
"5966";"129733";"2";"1";NULL;NULL;NULL
"5967";"129734";"2";"0";NULL;NULL;NULL
"5968";"129735";"2";"0";NULL;NULL;NULL
"5969";"129736";"2";"0";NULL;NULL;NULL
"5970";"129737";"2";"0";NULL;NULL;NULL
"5971";"129738";"2";"0";NULL;NULL;NULL
"5972";"129739";"2";"1";NULL;NULL;NULL
"5973";"129740";"2";"1";NULL;NULL;NULL
"5974";"129741";"2";"0";NULL;NULL;NULL
"5975";"129742";"2";"0";NULL;NULL;NULL
"5976";"129742";"2";"0";NULL;NULL;NULL
"5977";"129743";"2";"1";NULL;NULL;NULL
"5978";"129744";"2";"0";NULL;NULL;NULL
"5979";"129745";"2";"0";NULL;NULL;NULL
"5980";"129746";"2";"1";NULL;NULL;NULL
"5981";"129747";"2";"0";NULL;NULL;NULL
"5982";"129748";"2";"0";NULL;NULL;NULL
"5983";"129749";"2";"0";NULL;NULL;NULL
"5984";"129750";"2";"0";NULL;NULL;NULL
"5985";"129751";"2";"0";NULL;NULL;NULL
"5986";"129752";"2";"0";NULL;NULL;NULL
"5987";"129752";"1";"0";NULL;NULL;NULL
"5998";"129757";"2";"0";NULL;NULL;NULL
"5999";"129758";"2";"1";NULL;NULL;NULL
"6000";"129759";"2";"0";NULL;NULL;NULL
"6001";"129760";"2";"0";NULL;NULL;NULL
"6003";"129762";"2";"0";NULL;NULL;NULL
"6004";"129763";"2";"0";NULL;NULL;NULL
