"search_log_id";"upsell_type";"name";"unit_price";"pieces";"sum_price"
"129894";"12";"MEDI40_EN";"37.80";"2";"75.60"
"130637";"12";"MEDI40_HU";"13600.00";"1";"13600.00"
"132560";"13";"SUMCSOB90_DE";"55.30";"1";"55.30"
"132895";"2";"PROS_HU";"10990.00";"1";"10990.00"
"132895";"9";"NONABAR_HU";"8990.00";"1";"8990.00"
"134278";"1";"HCHAMPAGNE_HU";"8990.00";"1";"8990.00"
"134278";"8";"FRUITCHOC_HU";"19990.00";"1";"19990.00"
"134278";"13";"SUMCSOB90_HU";"19900.00";"1";"19900.00"
"135503";"8";"FRUITCHOC_HU";"19990.00";"1";"19990.00"
"135604";"2";"PROS_HU";"10990.00";"1";"10990.00"
"135627";"2";"PROS_HU";"10990.00";"1";"10990.00"
"136466";"3";"KREINBON_HU";"61.00";"1";"122.00"
"136466";"11";"AM30_DE";"31.00";"1";"31.00"
"138148";"13";"SUMCSOB90_HU";"19900.00";"1";"19900.00"
"138163";"9";"NONABAR_HU";"8990.00";"1";"8990.00"
"138163";"13";"SUMCSOB90_HU";"19900.00";"1";"19900.00"
"138163";"14";"SUMCSOB80_EN";"26500.00";"1";"26500.00"
"138202";"9";"NONABAR_HU";"8990.00";"1";"8990.00"
"139552";"12";"MEDI40_EN";"37.80";"2";"75.60"
"139552";"12";"MEDI40_EN";"37.80";"2";"75.60"
"139616";"13";"SUMCSOB90_HU";"19900.00";"1";"19900.00"
"142400";"1";"HCHAMPAGNE_HU";"24.97";"1";"24.97"
"143449";"12";"MEDI40_EN";"37.80";"1";"37.80"
"144883";"13";"SUMCSOB90_HU";"19900.00";"1";"19900.00"
"144996";"16";"BALA25_DE";"30.00";"1";"30.00"
"146240";"18";"BALDREAM_EN";"102.22";"2";"204.44"
"148411";"17";"BALDREAM_DE";"171.25";"1";"171.25"
"150639";"12";"MEDI40_EN";"37.80";"2";"75.60"
"150795";"9";"NONABAR_HU";"8990.00";"1";"8990.00"
"150926";"12";"MEDI40_HU";"13600.00";"2";"27200.00"
"152406";"12";"MEDI40_HU";"13600.00";"2";"27200.00"
"152609";"10";"ABAR_HU";"21990.00";"1";"21990.00"
"152710";"12";"MEDI40_HU";"13600.00";"2";"27200.00"
"154288";"8";"FRUITCHOC_DE";"55.53";"1";"55.53"
"154288";"20";"M40_DE";"35.00";"1";"35.00"
"154288";"21";"IM_DE";"40.00";"1";"40.00"
"154288";"29";"LM120_EN";"87.00";"1";"87.00"
"155748";"28";"HAR60_EN";"8910.00";"1";"8910.00"
"156772";"9";"NONABAR_HU";"8990.00";"1";"8990.00"
"156772";"21";"IM_HU";"15210.00";"1";"15210.00"
"156810";"12";"MEDI40_HU";"12240.00";"2";"24480.00"
"156824";"24";"HUSPRING_HU";"23850.00";"1";"23850.00"
"156840";"22";"SWEET50_HU";"16560.00";"1";"16560.00"
"156840";"28";"HAR60_EN";"8910.00";"2";"17820.00"
"156872";"17";"BALDREAM_HU";"55485.00";"1";"55485.00"
"156980";"21";"IM_EN";"40.00";"2";"80.00"
"156980";"26";"DC90_EN";"63.00";"2";"126.00"
"157081";"28";"HAR60_EN";"8910.00";"1";"8910.00"
"157399";"28";"HAR60_EN";"8910.00";"1";"8910.00"
"157500";"21";"IM_HU";"15210.00";"1";"15210.00"
"157418";"29";"LM120_EN";"33210.00";"1";"33210.00"
"157622";"17";"BALDREAM_HU";"55485.00";"1";"55485.00"
"157679";"28";"HAR60_EN";"8910.00";"1";"8910.00"
"157730";"12";"MEDI40_HU";"12240.00";"2";"24480.00"
"157862";"28";"HAR60_EN";"8910.00";"1";"8910.00"
"157984";"20";"SZM40_HU";"13230.00";"1";"13230.00"
"158104";"12";"MEDI40_HU";"12240.00";"2";"24480.00"
"158825";"10";"ABAR_HU";"21990.00";"1";"21990.00"
"160125";"28";"HAR60_EN";"8910.00";"1";"8910.00"
"161678";"17";"BALDREAM_DE";"154.13";"1";"154.13"
"161678";"20";"M40_DE";"35.00";"2";"70.00"
"161678";"23";"EXBAMB50_DE";"41.00";"2";"82.00"
"162633";"28";"HAR60_EN";"8910.00";"1";"8910.00"
