"date";"utm_source_and_medium";"utm_campaign";"user_count";"session_count"
"2024-09-18";"(not set)";"(not set)";"516";"676"
"2024-09-18";"(direct) / (none)";"(direct)";"227";"260"
"2024-09-18";"google / cpc";"(organic)";"221";"246"
"2024-09-18";"google / cpc";"HU | pMAX | PERF I Brand";"172";"187"
"2024-09-18";"google / organic";"(organic)";"153";"180"
"2024-09-18";"google / cpc";"HU | GSN | PERF I Brand";"130";"161"
"2024-09-18";"google / cpc";"(not set)";"92";"105"
"2024-09-18";"facebook / cpc";"campaign_19";"79";"83"
"2024-09-18";"facebook / cpc";"campaign_20";"51";"52"
"2024-09-18";"facebook / cpc";"campaign_21";"35";"38"
"2024-09-18";"google / cpc";"campaign_22";"27";"31"
"2024-09-18";"bing / organic";"(organic)";"7";"20"
"2024-09-18";"bing / cpc";"campaign_2";"20";"20"
"2024-09-18";"google / cpc";"campaign_23";"16";"19"
"2024-09-18";"google / cpc";"campaign_24";"19";"19"
"2024-09-18";"google / cpc";"DE | pMAX | PERF I Brand";"14";"18"
"2024-09-18";"m.facebook.com / referral";"(referral)";"16";"17"
"2024-09-18";"google / cpc";"campaign_25";"17";"17"
"2024-09-18";"l.facebook.com / referral";"(referral)";"12";"14"
"2024-09-18";"ajanlat / offline";"campaign_10";"8";"14"
"2024-09-18";"bing / cpc";"campaign_5";"3";"13"
"2024-09-18";"redir.d-edgeconnect.media / referral";"(referral)";"9";"10"
"2024-09-18";"google / cpc";"(referral)";"7";"8"
"2024-09-18";"google / cpc";"campaign_26";"5";"7"
"2024-09-18";"google / cpc";"HU | GDN | ENGM I Programok '24";"7";"7"
"2024-09-18";"phone / offline";"proposal-by-phone";"2";"7"
"2024-09-18";"l.instagram.com / referral";"(referral)";"4";"5"
"2024-09-18";"lm.facebook.com / referral";"(referral)";"3";"5"
"2024-09-18";"otpbankdirekt.hu / referral";"(referral)";"2";"5"
"2024-09-18";"google / cpc";"campaign_27";"3";"5"
"2024-09-18";"google / cpc";"campaign_28";"3";"5"
"2024-09-18";"hirlevel_s1";"hirlevel_c1";"3";"5"
"2024-09-18";"google / cpc";"campaign_29";"2";"4"
