"search_log_id";"total_price_final";"rooms_total_price";"upsell_total_price";"vouchers_total_price";"loyalty_discount_total";"redeemed_loyalty_points_total"
"138148";"405460";"428400";"19900.00";"0";"42840.00";"0.00"
"138163";"187764";"152637.78";"55390.00";"0";"15263.78";"5000.00"
"138195";"101286";"135252.22";"0.00";"0";"13525.22";"20441.00"
"138202";"200393";"212670";"8990.00";"0";"21267.00";"0.00"
"138373";"221400";"221400";"0.00";"0";"0.00";"0.00"
"138361";"120870";"120870";"0.00";"0";"0.00";"0.00"
"138449";"280042";"337824.44";"0.00";"0";"33782.44";"24000.00"
"138475";"86804";"103587.2";"0.00";"0";"11383.20";"5400.00"
"139190";"419158";"465731.11";"0.00";"0";"46573.11";"0.00"
"139221";"195453";"226340.56";"0.00";"0";"25887.56";"5000.00"
"139244";"313680";"313680";"0.00";"0";"0.00";"0.00"
"139263";"147021";"168912.22";"0.00";"0";"16891.22";"5000.00"
"139276";"127967";"127967";"0.00";"0";"0.00";"0.00"
"139300";"227052";"227052";"0.00";"0";"0.00";"0.00"
"139331";"103992";"121102.22";"0.00";"0";"12110.22";"5000.00"
"139422";"115170";"127966.67";"0.00";"0";"12796.67";"0.00"
"139490";"530.14";"595.59";"0.00";"0";"65.45";"0.00"
"139552";"1128.3";"1099.56";"151.20";"0";"109.96";"12.50"
"139616";"214985";"222316.66999999998";"19900.00";"0";"22231.67";"5000.00"
"140079";"365098";"405664.44";"0.00";"0";"40566.44";"0.00"
"140084";"928483";"1031647.78";"0.00";"0";"103164.78";"0.00"
"140167";"95297";"121175.56";"0.00";"0";"12117.56";"13761.00"
"140287";"158877";"178491.56";"0.00";"0";"19614.56";"0.00"
"140370";"357123";"402358.89";"0.00";"0";"40235.89";"5000.00"
"140385";"304042";"337824.4";"0.00";"0";"33782.40";"0.00"
"140420";"125628";"145142.22";"0.00";"0";"14514.22";"5000.00"
"140429";"285524";"285524";"0.00";"0";"0.00";"0.00"
"140493";"936.36";"936.3599999999999";"0.00";"0";"0.00";"0.00"
"140602";"75012";"84272.78";"0.00";"0";"9260.78";"0.00"
"140608";"329930";"366588.89";"0.00";"0";"36658.89";"0.00"
"140644";"124294";"143660";"0.00";"0";"14366.00";"5000.00"
"140660";"262236";"294610.78";"0.00";"0";"32374.78";"0.00"
"141190";"184080";"184080";"0.00";"0";"0.00";"0.00"
"141242";"208202";"231335.56";"0.00";"0";"23133.56";"0.00"
