,search_log_id,upsell_type,name,unit_price,pieces,sum_price,hotel_id
0,112857,7,ROSE_HU,3500.0,1,3500.0,hotel_1
1,114033,10,NONABAR_HU,4800.0,1,4800.0,hotel_1
2,114367,6,FRUITS_HU,3500.0,1,3500.0,hotel_1
3,115548,21,M50_HU,13200.0,2,26400.0,hotel_1
4,115764,1,DAYSPA_HU,8350.0,1,8350.0,hotel_1
5,115850,6,FRUITS_HU,3500.0,1,3500.0,hotel_1
6,115850,21,M50_HU,13200.0,1,13200.0,hotel_1
7,115995,6,FRUITS_HU,3500.0,1,3500.0,hotel_1
8,115995,17,COFFEEMIX_HU,8700.0,1,8700.0,hotel_1
9,116796,9,CAKE_HU,6000.0,1,6000.0,hotel_1
10,116917,1,DAYSPA_HU,8350.0,2,16700.0,hotel_1
11,117490,10,NONABAR_HU,4800.0,1,4800.0,hotel_1
12,118891,10,NONABAR_HU,4800.0,1,4800.0,hotel_1
13,120731,21,M50_HU,13200.0,2,26400.0,hotel_1
14,120847,2,HDAYSPA_HU,5950.0,3,17850.0,hotel_1
15,120847,4,TCDCHAMPAGNE_HU,7300.0,1,7300.0,hotel_1
16,120847,6,FRUITS_HU,3500.0,1,3500.0,hotel_1
17,120847,10,NONABAR_HU,4800.0,1,4800.0,hotel_1
18,120831,6,FRUITS_HU,3500.0,1,3500.0,hotel_1
19,120831,10,NONABAR_HU,4800.0,1,4800.0,hotel_1
20,120831,15,PRESSO_HU,4500.0,2,9000.0,hotel_1
21,121050,16,CAPPUCCINO_HU,5300.0,1,5300.0,hotel_1
22,121219,21,M50_HU,13200.0,2,26400.0,hotel_1
23,121255,9,CAKE_HU,6000.0,1,6000.0,hotel_1
24,121625,6,FRUITS_HU,3500.0,1,3500.0,hotel_1
25,121625,9,CAKE_HU,6000.0,1,6000.0,hotel_1
26,126036,16,CAPPUCCINO_DE,14.7,1,14.7,hotel_1
27,126104,2,HDAYSPA_HU,5950.0,2,11900.0,hotel_1
28,126291,17,COFFEEMIX_EN,8700.0,1,8700.0,hotel_1
29,129168,1,DAYSPA_DE,23.2,2,46.4,hotel_1
30,129168,1,DAYSPA_DE,23.2,2,46.4,hotel_1
31,129168,1,DAYSPA_DE,23.2,1,23.2,hotel_1
32,129807,6,FRUITS_HU,3500.0,1,3500.0,hotel_1
33,129827,15,PRESSO_HU,4500.0,1,4500.0,hotel_1
34,129827,20,M25_HU,9900.0,1,9900.0,hotel_1
35,129836,21,M50_HU,13200.0,2,26400.0,hotel_1
36,130847,1,DAYSPA_HU,8350.0,2,16700.0,hotel_1
37,130946,9,CAKE_HU,6000.0,1,6000.0,hotel_1
38,131109,8,MFLOWER_HU,10000.0,1,10000.0,hotel_1
39,131444,6,FRUITS_DE,9.7,1,9.7,hotel_1
40,131444,16,CAPPUCCINO_DE,14.7,1,14.7,hotel_1
41,131444,18,COKE_DE,20.8,1,20.8,hotel_1
42,131767,6,FRUITS_HU,3500.0,1,3500.0,hotel_1
43,132747,16,CAPPUCCINO_DE,14.7,1,14.7,hotel_1
