,id,search_log_room_id,age,baby_bed,hotel_id
0,1938,5797,3,0,hotel_1
1,1939,5915,13,0,hotel_1
2,1940,5915,10,0,hotel_1
3,1941,5915,15,0,hotel_1
4,1942,5916,13,0,hotel_1
5,1943,5916,10,0,hotel_1
6,1944,5916,15,0,hotel_1
7,1945,5917,13,0,hotel_1
8,1946,5917,10,0,hotel_1
9,1947,5917,15,0,hotel_1
10,1948,5919,4,0,hotel_1
11,1949,5922,8,0,hotel_1
12,1950,5922,6,0,hotel_1
13,1951,5923,8,0,hotel_1
14,1952,5923,6,0,hotel_1
15,1953,5924,8,0,hotel_1
16,1954,5924,13,0,hotel_1
17,1955,5925,8,0,hotel_1
18,1956,5926,13,0,hotel_1
19,1957,5940,2,0,hotel_1
20,1958,5940,4,0,hotel_1
21,1959,5940,15,0,hotel_1
22,1960,5944,17,0,hotel_1
23,1961,5944,17,0,hotel_1
24,1962,5944,14,0,hotel_1
25,1963,5945,17,0,hotel_1
26,1964,5945,17,0,hotel_1
27,1965,5949,17,0,hotel_1
28,1966,5949,17,0,hotel_1
29,1967,5949,14,0,hotel_1
30,1968,5954,8,0,hotel_1
31,1969,5955,11,0,hotel_1
32,1970,5957,8,0,hotel_1
33,1971,5957,11,0,hotel_1
34,1972,5959,14,0,hotel_1
35,1973,5961,8,0,hotel_1
36,1974,5963,8,0,hotel_1
37,1975,5963,11,0,hotel_1
38,1976,5964,8,0,hotel_1
39,1977,5965,11,0,hotel_1
40,1978,5966,8,0,hotel_1
41,1979,5966,11,0,hotel_1
42,1980,5969,7,0,hotel_1
43,1981,5970,1,1,hotel_1
44,1982,5975,9,0,hotel_1
45,1983,5978,8,0,hotel_1
46,1984,5980,10,0,hotel_1
47,1985,5980,6,0,hotel_1
48,1986,5985,8,0,hotel_1
49,1987,5985,11,0,hotel_1
50,1988,5986,8,0,hotel_1
51,1989,6006,2,1,hotel_1
52,1990,6014,7,0,hotel_1
53,1991,6016,7,0,hotel_1
54,1992,6017,8,0,hotel_1
55,1993,6017,10,0,hotel_1
56,1994,6018,10,0,hotel_1
57,1995,6018,12,0,hotel_1
58,1996,6020,0,1,hotel_1
59,1997,6020,11,0,hotel_1
60,1998,6020,11,0,hotel_1
61,1999,6021,0,1,hotel_1
62,2000,6021,11,0,hotel_1
63,2001,6021,11,0,hotel_1
64,2002,6022,2,1,hotel_1
65,2003,6022,11,0,hotel_1
66,2004,6022,11,0,hotel_1
67,2005,6024,2,1,hotel_1
68,2006,6024,11,0,hotel_1
69,2007,6024,10,0,hotel_1
70,2008,6025,1,1,hotel_1
71,2009,6025,10,0,hotel_1
72,2010,6025,10,0,hotel_1
73,2011,6036,10,0,hotel_1
74,2012,6036,12,0,hotel_1
75,2013,6037,6,0,hotel_1
76,2014,6037,14,0,hotel_1
77,2015,6038,2,0,hotel_1
78,2016,6038,8,0,hotel_1
79,2017,6043,2,0,hotel_1
80,2018,6043,8,0,hotel_1
