,date,daily_google_spend,daily_microsoft_spend,daily_meta_spend,hotel_id,google_user_count_website,meta_user_count_website,microsoft_user_count_website,google_user_count_datepicker,meta_user_count_datepicker,microsoft_user_count_datepicker,days,nights,adults,children,conversion,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total
0,2024-09-18,128044,10564,35950,hotel_1,718.0,165.0,21.0,175.0,27.0,5.0,3.735549132947977,2.735549132947977,2.1199421965317917,0.7716763005780347,0.02167630057803468,4465.120613872833,243496.64401333334,233.33333333333334,0.0,27071.96716,11112.2
1,2024-09-19,137322,12048,53112,hotel_1,684.0,153.0,28.0,150.0,29.0,5.0,3.6121323529411766,2.6121323529411766,2.233455882352941,0.5716911764705882,0.051470588235294115,12131.416630514706,269983.23564285715,296.42857142857144,0.0,28952.151964285713,5274.274857142857
2,2024-09-20,124825,8484,61717,hotel_1,690.0,159.0,25.0,144.0,29.0,10.0,3.5869565217391304,2.5869565217391304,2.2134387351778657,0.45652173913043476,0.029644268774703556,6670.116759288537,259810.83688,1760.0,0.0,24767.619866666668,11797.945
3,2024-09-21,106588,6976,64140,hotel_1,638.0,172.0,27.0,146.0,22.0,1.0,3.6611226611226613,2.6611226611226613,2.3014553014553014,0.6237006237006237,0.035343035343035345,7856.468425987527,244883.07952352942,2191.176470588235,0.0,22007.950823529412,2480.345588235294
4,2024-09-22,144448,6684,73310,hotel_1,725.0,267.0,20.0,197.0,38.0,5.0,3.6580459770114944,2.6580459770114944,2.206896551724138,0.8002873563218391,0.03735632183908046,7487.252965804598,230005.86047307693,873.0769230769231,0.0,23415.802961538462,7035.131965384615
5,2024-09-23,154221,9368,118552,hotel_1,796.0,298.0,42.0,191.0,39.0,6.0,3.5335413416536663,2.5335413416536663,2.143525741029641,0.7363494539781591,0.046801872074883,9975.8964099844,243635.9280733333,160.0,0.0,27901.654433333333,2742.620346666667
6,2024-09-24,116895,9052,121010,hotel_1,694.0,416.0,32.0,172.0,53.0,7.0,3.6363636363636362,2.6363636363636362,2.195924764890282,0.700626959247649,0.02664576802507837,6509.01179090909,273394.9681294118,282.3529411764706,0.0,24361.878564705883,5036.058823529412
7,2024-09-25,99603,10196,112658,hotel_1,584.0,304.0,45.0,150.0,44.0,4.0,3.662020905923345,2.662020905923345,2.250871080139373,0.6376306620209059,0.01916376306620209,3909.853530836237,241364.30461818184,0.0,0.0,23331.075209090908,14009.963345454546
8,2024-09-26,100615,10556,112524,hotel_1,557.0,318.0,39.0,141.0,49.0,4.0,3.644891122278057,2.644891122278057,2.113902847571189,0.6800670016750419,0.035175879396984924,8405.662840536013,254884.51200000002,5921.428571428572,0.0,19131.443666666666,1892.5119047619048
9,2024-09-27,82325,10924,49426,hotel_1,509.0,135.0,36.0,145.0,30.0,5.0,3.603515625,2.603515625,2.27734375,0.708984375,0.033203125,8727.278827148437,290118.0630294117,0.0,0.0,25465.54776470588,1807.4117647058824
10,2024-09-28,77585,10252,39491,hotel_1,465.0,153.0,37.0,135.0,32.0,3.0,3.5760649087221097,2.5760649087221097,2.2170385395537524,0.6146044624746451,0.02231237322515213,5307.3417180527385,277998.02,0.0,0.0,25349.61131818182,14783.002590909093
11,2024-09-29,74405,9656,39871,hotel_1,569.0,146.0,18.0,162.0,30.0,4.0,3.6762225969645868,2.6762225969645868,2.3102866779089375,0.8397976391231029,0.02866779089376054,5722.997142495785,232940.13605882353,0.0,0.0,22012.957588235295,11295.572264705885
12,2024-09-30,75176,10240,22426,hotel_1,546.0,115.0,22.0,153.0,14.0,7.0,3.3697318007662833,2.3697318007662833,2.181992337164751,0.5823754789272031,0.017241379310344827,3375.507304214559,212709.09124444443,0.0,0.0,13966.950933333334,2355.3333333333335
13,2024-10-01,94234,11304,13018,hotel_1,597.0,96.0,21.0,208.0,31.0,8.0,3.3867313915857604,2.3867313915857604,2.179611650485437,0.6990291262135923,0.05177993527508091,10319.641174433656,223886.13021875,826.25509375,0.0,21052.30731875,2829.6328125
14,2024-10-02,117751,11788,21018,hotel_1,619.0,111.0,29.0,189.0,23.0,6.0,3.5828877005347595,2.5828877005347595,2.2032085561497325,0.37076648841354726,0.0392156862745098,9448.170668449198,267304.23387272726,0.0,0.0,21736.80864545455,3655.6186363636366
15,2024-10-03,125995,13284,19221,hotel_1,636.0,89.0,29.0,209.0,21.0,4.0,3.5524956970740105,2.5524956970740105,2.089500860585198,0.5869191049913941,0.022375215146299483,4542.993246299484,243936.05266153844,0.0,0.0,25442.38753846154,15456.813115384615
16,2024-10-04,110733,14876,18663,hotel_1,591.0,78.0,41.0,157.0,14.0,10.0,3.5177865612648223,2.5177865612648223,2.260869565217391,0.8162055335968379,0.023715415019762844,6200.195084189722,289738.40036666667,3883.1966666666667,0.0,27364.03765,4816.0
17,2024-10-05,111679,10516,20965,hotel_1,642.0,70.0,29.0,168.0,13.0,7.0,3.534446764091858,2.534446764091858,2.164926931106472,0.755741127348643,0.04801670146137787,7957.806363256785,189134.4794347826,1926.0869565217392,4347.826086956522,16342.164304347825,4640.608695652174
18,2024-10-06,117052,12108,22445,hotel_1,711.0,75.0,24.0,223.0,20.0,3.0,3.5442834138486314,2.5442834138486314,2.2028985507246377,0.7906602254428341,0.024154589371980676,6450.809200925925,303907.42742666666,3390.4861333333333,0.0,24017.316733333333,16217.16286
