,id,search_log_room_id,age,baby_bed,hotel_id
2190,3464,14297,8,0,hotel_3
2191,3465,14299,0,0,hotel_3
2192,3466,14301,8,0,hotel_3
2193,3467,14301,10,0,hotel_3
2194,3468,14301,16,0,hotel_3
2195,3469,14302,0,0,hotel_3
2196,3470,14304,4,0,hotel_3
2197,3471,14306,4,0,hotel_3
2198,3472,14306,11,0,hotel_3
2199,3473,14306,11,0,hotel_3
2200,3474,14306,14,0,hotel_3
2201,3475,14307,4,0,hotel_3
2202,3476,14307,11,0,hotel_3
2203,3477,14310,4,0,hotel_3
2204,3478,14310,11,0,hotel_3
2205,3479,14311,14,0,hotel_3
2206,3480,14311,11,0,hotel_3
2207,3481,14312,5,0,hotel_3
2208,3482,14312,13,0,hotel_3
2209,3483,14316,4,0,hotel_3
2210,3484,14316,7,0,hotel_3
2211,3485,14317,4,0,hotel_3
2212,3486,14317,7,0,hotel_3
2213,3487,14320,6,0,hotel_3
2214,3488,14322,6,0,hotel_3
2215,3489,14332,2,1,hotel_3
2216,3490,14334,1,1,hotel_3
2217,3491,14334,8,0,hotel_3
2218,3492,14334,10,0,hotel_3
2219,3493,14336,8,0,hotel_3
2220,3494,14336,10,0,hotel_3
2221,3495,14339,1,0,hotel_3
2222,3496,14343,10,0,hotel_3
2223,3497,14343,13,0,hotel_3
2224,3498,14343,15,0,hotel_3
2225,3499,14346,2,0,hotel_3
2226,3500,14347,2,0,hotel_3
2227,3501,14633,14,0,hotel_3
2228,3502,14633,16,0,hotel_3
2229,3503,14640,14,0,hotel_3
2230,3504,14640,16,0,hotel_3
2231,3505,14643,14,0,hotel_3
2232,3506,14643,16,0,hotel_3
2233,3507,14652,14,0,hotel_3
2234,3508,14652,16,0,hotel_3
2235,3509,14688,1,1,hotel_3
2236,3510,14696,6,0,hotel_3
2237,3511,14705,14,0,hotel_3
2238,3512,14705,10,0,hotel_3
2239,3513,14711,14,0,hotel_3
2240,3514,14711,11,0,hotel_3
2241,3515,14717,11,0,hotel_3
2242,3516,14717,6,0,hotel_3
2243,3517,14718,11,0,hotel_3
2244,3518,14719,6,0,hotel_3
2245,3519,14720,11,0,hotel_3
2246,3520,14721,6,0,hotel_3
2247,3521,14730,9,0,hotel_3
2248,3522,14732,10,0,hotel_3
2249,3523,14733,4,0,hotel_3
2250,3524,14733,7,0,hotel_3
2251,3525,14736,0,0,hotel_3
2252,3526,14737,4,0,hotel_3
2253,3527,14737,7,0,hotel_3
2254,3528,14739,0,0,hotel_3
2255,3529,14749,4,0,hotel_3
2256,3530,14749,7,0,hotel_3
2257,3531,14750,0,0,hotel_3
2258,3532,14755,0,0,hotel_3
2259,3533,14756,4,0,hotel_3
2260,3534,14756,7,0,hotel_3
2261,3535,14760,0,0,hotel_3
2262,3536,14761,4,0,hotel_3
2263,3537,14761,7,0,hotel_3
2264,3538,14764,7,0,hotel_3
2265,3539,14768,7,0,hotel_3
2266,3540,14780,0,1,hotel_3
2267,3541,14781,13,0,hotel_3
2268,3542,14781,10,0,hotel_3
2269,3543,14784,17,0,hotel_3
2270,3544,14785,17,0,hotel_3
2271,3545,14789,3,0,hotel_3
2272,3546,14789,9,0,hotel_3
2273,3547,14794,13,0,hotel_3
2274,3548,14794,6,0,hotel_3
2275,3549,14796,10,0,hotel_3
2276,3550,14796,7,0,hotel_3
2277,3551,14801,2,0,hotel_3
2278,3552,14814,5,0,hotel_3
2279,3553,14823,10,0,hotel_3
2280,3554,14823,14,0,hotel_3
2281,3555,14845,4,0,hotel_3
2282,3556,14845,6,0,hotel_3
2283,3557,14850,16,0,hotel_3
2284,3558,14858,15,0,hotel_3
2285,3559,14874,5,0,hotel_3
2286,3560,14876,8,0,hotel_3
2287,3561,14876,10,0,hotel_3
2288,3562,14881,9,0,hotel_3
2289,3563,14881,5,0,hotel_3
2290,3564,14882,12,0,hotel_3
2291,3565,14882,13,0,hotel_3
2292,3566,14884,17,0,hotel_3
2293,3567,14884,13,0,hotel_3
2294,3568,14885,17,0,hotel_3
2295,3569,14886,17,0,hotel_3
2296,3570,14886,13,0,hotel_3
2297,3571,14887,17,0,hotel_3
2298,3572,14887,13,0,hotel_3
2299,3573,14888,17,0,hotel_3
2300,3574,14888,13,0,hotel_3
2301,3575,14889,17,0,hotel_3
2302,3576,14889,13,0,hotel_3
2303,3577,14890,17,0,hotel_3
2304,3578,14890,13,0,hotel_3
2305,3579,14891,17,0,hotel_3
2306,3580,14891,13,0,hotel_3
2307,3581,14897,4,0,hotel_3
2308,3582,14897,5,0,hotel_3
2309,3583,14898,4,0,hotel_3
2310,3584,14898,5,0,hotel_3
2311,3585,14900,4,0,hotel_3
2312,3586,14900,5,0,hotel_3
2313,3587,14902,4,0,hotel_3
2314,3588,14902,5,0,hotel_3
2315,3589,14903,7,0,hotel_3
2316,3590,14905,2,0,hotel_3
2317,3591,14906,2,0,hotel_3
2318,3592,14918,4,0,hotel_3
2319,3593,14918,5,0,hotel_3
2320,3594,14925,17,0,hotel_3
2321,3595,14925,7,0,hotel_3
2322,3596,14926,7,0,hotel_3
2323,3597,14927,17,0,hotel_3
2324,3598,14928,0,0,hotel_3
2325,3599,14932,0,0,hotel_3
2326,3602,14939,7,0,hotel_3
2327,3603,14939,5,0,hotel_3
2328,3604,14940,7,0,hotel_3
2329,3605,14940,5,0,hotel_3
2330,3606,14941,7,0,hotel_3
2331,3607,14941,5,0,hotel_3
2332,3608,14944,7,0,hotel_3
2333,3609,14944,5,0,hotel_3
2334,3610,14945,7,0,hotel_3
2335,3611,14945,5,0,hotel_3
2336,3612,14954,1,1,hotel_3
2337,3613,14955,8,0,hotel_3
2338,3614,14960,10,0,hotel_3
2339,3615,14960,14,0,hotel_3
2340,3616,14962,7,0,hotel_3
2341,3617,14963,7,0,hotel_3
2342,3618,14964,10,0,hotel_3
2343,3619,14964,14,0,hotel_3
2344,3620,14968,8,0,hotel_3
2345,3621,14969,7,0,hotel_3
2346,3622,14969,4,0,hotel_3
2347,3623,14971,4,0,hotel_3
2348,3624,14971,6,0,hotel_3
2349,3625,14975,8,0,hotel_3
2350,3626,14990,7,0,hotel_3
2351,3627,14990,11,0,hotel_3
2352,3628,14994,4,0,hotel_3
2353,3629,14996,4,0,hotel_3
2354,3630,14996,7,0,hotel_3
2355,3631,15001,3,0,hotel_3
2356,3632,15001,9,0,hotel_3
2357,3633,15003,15,0,hotel_3
2358,3634,15003,17,0,hotel_3
2359,3635,15005,15,0,hotel_3
2360,3636,15006,17,0,hotel_3
2361,3637,15010,5,0,hotel_3
2362,3638,15012,5,0,hotel_3
2363,3639,15013,11,0,hotel_3
2364,3640,15019,13,0,hotel_3
2365,3641,15020,16,0,hotel_3
2366,3642,15021,16,0,hotel_3
2367,3643,15022,16,0,hotel_3
2368,3644,15023,17,0,hotel_3
2369,3645,15023,13,0,hotel_3
2370,3646,15024,16,0,hotel_3
2371,3647,15029,11,0,hotel_3
2372,3648,15031,11,0,hotel_3
2373,3649,15032,1,1,hotel_3
2374,3650,15035,0,1,hotel_3
2375,3651,15037,11,0,hotel_3
2376,3652,15039,11,0,hotel_3
2377,3653,15040,6,0,hotel_3
2378,3654,15041,6,0,hotel_3
2379,3655,15044,4,0,hotel_3
