,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
84,4342,1981076210.1714022124,1726643704,,nan,(not set),hotel_3
85,4344,1899618999.1714015295,1726644004,google,organic,(not set),hotel_3
86,4346,574828767.1724829557,1726644023,google,cpc,(not set),hotel_3
87,4347,199236435.1726643863,1726644279,google,cpc,(not set),hotel_3
88,4350,1388332849.1726042229,1726645756,google,cpc,(not set),hotel_3
89,4351,1289188088.1721736041,1726645880,google,cpc,(not set),hotel_3
90,4352,12787948.1715181120,1726646066,google,cpc,(not set),hotel_3
91,4353,1073066060.1726646032,1726646280,,nan,(not set),hotel_3
92,4354,1550594793.1714028899,1726646285,,nan,(not set),hotel_3
93,4355,2020026522.1726646605,1726646647,google,cpc,(not set),hotel_3
94,4356,260642298.1725548205,1726646761,google,cpc,(not set),hotel_3
95,4357,1873498610.1726314254,1726646893,,nan,(not set),hotel_3
96,4358,59312769.1726646837,1726646905,google,cpc,(not set),hotel_3
97,4359,1048996059.1726646825,1726647013,,nan,(not set),hotel_3
98,4360,639eb898-0e12-446f-9fc6-5cc21c5ce3a6,1726647086,google,cpc,(not set),hotel_3
99,4361,907634214.1726647061,1726647087,google,cpc,(not set),hotel_3
100,4362,285247133.1726647083,1726647102,google,organic,(not set),hotel_3
101,4363,75912636.1726647154,1726647175,google,organic,(not set),hotel_3
102,4364,1066515433.1726647432,1726647432,live,organic,(not set),hotel_3
103,4365,1868748768.1725863138,1726647502,google,organic,(not set),hotel_3
104,4366,1716012950.1711040902,1726647607,hotelcms.hu,referral,(not set),hotel_3
105,4367,2071211918.1726647652,1726647730,google,cpc,(not set),hotel_3
106,4368,2014207231.1726642950,1726647784,google,cpc,(not set),hotel_3
107,4370,1971804983.1726634508,1726647840,,nan,(not set),hotel_3
108,4371,329337488.1726647797,1726647849,,nan,(not set),hotel_3
109,4372,192467191.1726647644,1726648296,google,cpc,(not set),hotel_3
110,4373,fe3ac779-c00c-4a9f-b6cb-2bcc652c4ebe,1726648405,google,cpc,(not set),hotel_3
111,4374,4b0f7573-acec-47dd-b98b-f6e4ad049fc8,1726648405,google,cpc,(not set),hotel_3
112,4375,320824436.1726648475,1726648523,google,cpc,(not set),hotel_3
113,4376,641532353.1726510067,1726648781,google,cpc,(not set),hotel_3
114,4377,712515966.1726648988,1726648923,google,cpc,(not set),hotel_3
115,4378,636540922.1726577647,1726649105,google,cpc,(not set),hotel_3
116,4379,2083278935.1726648448,1726649202,,nan,(not set),hotel_3
117,4380,1010412519.1726566873,1726649238,google,organic,(not set),hotel_3
118,4381,3063382.1726649263,1726649310,google,cpc,(not set),hotel_3
119,4382,1253302892.1726231007,1726649449,facebook,cpc,campaign_1,hotel_3
120,4383,373840101.1726644590,1726649506,google,cpc,(not set),hotel_3
121,4384,784574589.1726649441,1726649518,google,cpc,(not set),hotel_3
122,4385,1310977452.1726649514,1726649551,facebook,cpc,campaign_1,hotel_3
123,4386,1484555549.1726649373,1726649592,google,cpc,(not set),hotel_3
124,4387,785870542.1726649879,1726649945,live,organic,(not set),hotel_3
125,4388,605928605.1726647758,1726650168,google,cpc,(not set),hotel_3
126,4389,883289746.1726650061,1726650172,google,cpc,(not set),hotel_3
127,4390,1077327452.1726650220,1726650260,google,cpc,(not set),hotel_3
128,4391,1804284048.1726650222,1726650314,,nan,(not set),hotel_3
129,4392,954709922.1726650221,1726650356,google,cpc,(not set),hotel_3
130,4393,471601185.1726650320,1726650363,google,cpc,(not set),hotel_3
131,4394,128410831.1726650376,1726650389,google,cpc,(not set),hotel_3
132,4395,491583136.1726492707,1726650573,google,cpc,(not set),hotel_3
133,4396,1363289854.1726650551,1726650595,facebook,cpc,campaign_1,hotel_3
134,4397,1579123358.1726650725,1726650757,google,cpc,(not set),hotel_3
135,4398,53929241.1713808359,1726650903,live,organic,(not set),hotel_3
136,4403,674217773.1725619711,1726651641,redir.d-edgeconnect.media,referral,(not set),hotel_3
137,4404,2094638630.1726651743,1726651811,google,cpc,(not set),hotel_3
138,4405,447198934.1724667102,1726651858,google,cpc,(not set),hotel_3
139,4406,2136182393.1722859364,1726652003,l.instagram.com,referral,(not set),hotel_3
140,4408,1582461412.1716829339,1726652169,l.facebook.com,referral,(not set),hotel_3
141,4409,276531283.1726651957,1726652205,,nan,(not set),hotel_3
