"date";"utm_source_and_medium";"utm_campaign";"user_count";"session_count"
"2024-09-18";"(not set)";"(not set)";"545";"690"
"2024-09-18";"(direct) / (none)";"(direct)";"253";"304"
"2024-09-18";"google / cpc";"(not set)";"259";"273"
"2024-09-18";"google / organic";"(organic)";"144";"170"
"2024-09-18";"facebook / cpc";"campaign_14";"125";"128"
"2024-09-18";"google / cpc";"hu_brand";"97";"114"
"2024-09-18";"google / cpc";"campaign_15";"99";"105"
"2024-09-18";"google / cpc";"campaign_16";"67";"76"
"2024-09-18";"google / cpc";"campaign_17";"54";"58"
"2024-09-18";"google / cpc";"hu_pmax_brand";"41";"43"
"2024-09-18";"facebook / cpc";"campaign_18";"27";"27"
"2024-09-18";"l.facebook.com / referral";"(referral)";"24";"26"
"2024-09-18";"m.facebook.com / referral";"(referral)";"15";"24"
"2024-09-18";"google / cpc";"campaign_19";"15";"24"
"2024-09-18";"google / cpc";"(organic)";"17";"21"
"2024-09-18";"ntp.msn.com / referral";"(referral)";"13";"17"
"2024-09-18";"redir.d-edgeconnect.media / referral";"(referral)";"16";"17"
"2024-09-18";"google / cpc";"campaign_20";"13";"17"
"2024-09-18";"ajanlat / offline";"campaign_2";"13";"17"
"2024-09-18";"google / cpc";"campaign_22";"11";"14"
"2024-09-18";"facebook / cpc";"campaign_21";"13";"14"
"2024-09-18";"google / cpc";"campaign_24";"9";"14"
"2024-09-18";"msn.com / referral";"(referral)";"6";"13"
"2024-09-18";"source_1";"(referral)";"9";"11"
"2024-09-18";"google / cpc";"campaign_23";"10";"10"
"2024-09-18";"google / cpc";"campaign_25";"7";"9"
"2024-09-18";"ajanlat / offline";"proposal-by-phone";"7";"9"
"2024-09-18";"googleads.g.doubleclick.net / referral";"(referral)";"8";"8"
"2024-09-18";"bing / cpc";"campaign_36";"0";"8"
"2024-09-18";"bing / cpc";"campaign_9";"8";"8"
"2024-09-18";"google / cpc";"campaign_26";"6";"8"
"2024-09-18";"lm.facebook.com / referral";"(referral)";"6";"6"
"2024-09-18";"bing / cpc";"campaign_28";"5";"6"
"2024-09-18";"google / cpc";"utm_campaign";"4";"6"
"2024-09-18";"bing / organic";"(organic)";"4";"5"
"2024-09-18";"google / cpc";"campaign_27";"5";"5"
"2024-09-18";"seznam / organic";"(organic)";"3";"4"
"2024-09-18";"bing / cpc";"campaign_37";"0";"4"
"2024-09-18";"google / cpc";"campaign_30";"3";"4"
"2024-09-18";"bing / cpc";"campaign_29";"4";"4"
"2024-09-18";"(direct) / (none)";"(not set)";"2";"3"
"2024-09-18";"google / organic";"(not set)";"3";"3"
"2024-09-18";"email.seznam.cz / referral";"(referral)";"2";"3"
"2024-09-18";"hotelcms.hu / referral";"(referral)";"3";"3"
"2024-09-18";"bing / cpc";"campaign_13";"0";"3"
"2024-09-18";"statics.teams.cdn.office.net / referral";"(referral)";"1";"2"
"2024-09-18";"world.a1.net / referral";"(referral)";"1";"2"
"2024-09-18";"bing / cpc";"campaign_33";"1";"2"
"2024-09-18";"source_9";"hirlevel_c3";"1";"2"
"2024-09-18";"live / organic";"(not set)";"0";"1"
"2024-09-18";"(direct) / (none)";"(not+set)";"1";"1"
"2024-09-18";"google / organic";"(not+set)";"1";"1"
"2024-09-18";"app.zoomsphere.com / referral";"(referral)";"0";"1"
"2024-09-18";"connexservice.com / referral";"(referral)";"1";"1"
"2024-09-18";"source_10";"(referral)";"1";"1"
"2024-09-18";"economica.net / referral";"(referral)";"1";"1"
"2024-09-18";"source_22";"(referral)";"0";"1"
"2024-09-18";"instagram.com / referral";"(referral)";"0";"1"
"2024-09-18";"mail.google.com / referral";"(referral)";"0";"1"
"2024-09-18";"zadir.hu / referral";"(referral)";"0";"1"
"2024-09-18";"fb / paid";"campaign_8";"1";"1"
"2024-09-18";"bing / cpc";"campaign_31";"1";"1"
"2024-09-18";"bing / cpc";"campaign_6";"0";"1"
"2024-09-18";"bing / cpc";"campaign_32";"1";"1"
"2024-09-18";"source_11";"campaign_4";"1";"1"
"2024-09-18";"google / cpc";"campaign_34";"1";"1"
"2024-09-18";"bing / cpc";"campaign_38";"0";"1"
"2024-09-18";"bing / cpc";"campaign_39";"0";"1"
"2024-09-18";"bing / cpc";"campaign_35";"1";"1"
"2024-09-18";"bing / cpc";"campaign_40";"0";"1"
"2024-09-18";"facebook / cpc";"campaign_1";"0";"1"
"2024-09-18";"email / offline";"proposal-by-phone";"0";"1"
"2024-09-18";"phone / offline";"proposal-by-phone";"1";"1"
"2024-09-19";"bing / cpc";"campaign_31";"4";"7"
"2024-09-19";"phone / offline";"proposal-by-phone";"0";"1"
"2024-09-19";"(direct) / (none)";"(direct)";"233";"282"
"2024-09-19";"google / organic";"(organic)";"129";"152"
"2024-09-19";"google / cpc";"hu_brand";"95";"110"
"2024-09-19";"facebook / cpc";"campaign_14";"102";"108"
"2024-09-19";"google / cpc";"campaign_16";"84";"100"
"2024-09-19";"google / cpc";"campaign_15";"67";"74"
"2024-09-19";"google / cpc";"campaign_17";"54";"56"
