"search_log_id";"total_price_final";"rooms_total_price";"upsell_total_price";"vouchers_total_price";"loyalty_discount_total";"redeemed_loyalty_points_total"
"112857";"99683";"119952.22";"3500.00";"0";"11995.22";"11774.00"
"112906";"302444";"377114.44";"0.00";"0";"37711.44";"36959.00"
"113050";"622.43";"793.1600000000001";"0.00";"0";"118.97";"0.00"
"113057";"406944";"452160";"0.00";"0";"45216.00";"0.00"
"113070";"127885";"167843.29";"0.00";"0";"27515.29";"12443.00"
"113105";"88195";"104700.56";"0.00";"0";"11505.56";"5000.00"
"113134";"232162";"281520";"0.00";"0";"28152.00";"21206.00"
"113151";"147021";"168912.22";"0.00";"0";"16891.22";"0.00"
"113152";"251535";"288206";"0.00";"0";"31671.00";"5000.00"
"113256";"647.46";"629";"0.00";"0";"62.90";"0.00"
"113302";"101286";"143354.77";"0.00";"0";"23500.77";"18568.00"
"113311";"88833";"142571.2";"0.00";"0";"15667.20";"38071.00"
"113308";"169388";"193764.44";"0.00";"0";"19376.44";"5000.00"
"113432";"643.95";"715.5";"0.00";"0";"71.55";"0.00"
"113696";"319535";"369107.78";"0.00";"0";"36910.78";"12662.00"
"113840";"78249";"92498.9";"0.00";"0";"9249.90";"5000.00"
"113877";"298080";"331200";"0.00";"0";"33120.00";"0.00"
"113894";"89032";"104480";"0.00";"0";"10448.00";"5000.00"
"113912";"731";"731";"0.00";"0";"0.00";"0.00"
"113917";"91170";"106855.56";"0.00";"0";"10685.56";"0.00"
"113950";"53424.66";"67130.13";"0.00";"0";"8606.47";"5099.00"
"113963";"452.88";"503.2";"0.00";"0";"50.32";"0.00"
"113992";"197171";"224634.44";"0.00";"0";"22463.44";"5000.00"
"114000";"94914";"113524.6";"0.00";"0";"18610.60";"0.00"
"114033";"69271";"71634.4";"4800.00";"0";"7163.40";"0.00"
"114046";"1203.6";"1416";"0.00";"0";"212.40";"0.00"
"114059";"65730";"78588.89";"0.00";"0";"7858.89";"0.00"
"114104";"151690";"170417.22";"0.00";"0";"18727.22";"0.00"
"114145";"655960";"734400";"0.00";"0";"73440.00";"5000.00"
"114148";"689008";"771120";"0.00";"0";"77112.00";"5000.00"
"114170";"236056";"267840";"0.00";"0";"26784.00";"5000.00"
"114241";"837.1";"944";"0.00";"0";"94.40";"12.50"
"114256";"90208";"106962.11";"0.00";"0";"11754.11";"5000.00"
"114271";"428.63";"606.8399999999999";"0.00";"0";"91.03";"87.18"
"114274";"130993";"169186.66999999998";"0.00";"0";"16918.67";"21275.00"
"114289";"343720";"407237.78";"0.00";"0";"40723.78";"22794.00"
"114335";"248656";"292536.47";"0.00";"0";"43880.47";"0.00"
