"date";"utm_source_and_medium";"utm_campaign";"user_count";"session_count"
"2024-09-18";"(direct) / (none)";"(direct)";"104";"124"
"2024-09-18";"google / cpc";"(not set)";"59";"59"
"2024-09-18";"google / organic";"(organic)";"37";"40"
"2024-09-18";"google / cpc";"hu_brand";"30";"34"
"2024-09-18";"google / cpc";"campaign_16";"23";"25"
"2024-09-18";"facebook / cpc";"campaign_14";"21";"21"
"2024-09-18";"google / cpc";"campaign_15";"18";"19"
"2024-09-18";"redir.d-edgeconnect.media / referral";"(referral)";"12";"12"
"2024-09-18";"google / cpc";"campaign_19";"6";"11"
"2024-09-18";"google / cpc";"hu_pmax_brand";"8";"9"
"2024-09-18";"google / cpc";"(organic)";"6";"6"
"2024-09-18";"source_1";"(referral)";"6";"6"
"2024-09-18";"l.facebook.com / referral";"(referral)";"6";"6"
"2024-09-18";"m.facebook.com / referral";"(referral)";"5";"6"
"2024-09-18";"google / cpc";"campaign_17";"5";"6"
"2024-09-18";"msn.com / referral";"(referral)";"2";"5"
"2024-09-18";"facebook / cpc";"campaign_18";"5";"5"
"2024-09-18";"google / cpc";"campaign_26";"4";"5"
"2024-09-18";"google / cpc";"campaign_22";"4";"4"
"2024-09-18";"(not set)";"(not set)";"3";"3"
"2024-09-18";"google / cpc";"campaign_20";"3";"3"
"2024-09-18";"google / cpc";"campaign_23";"3";"3"
"2024-09-18";"hotelcms.hu / referral";"(referral)";"2";"2"
"2024-09-18";"ntp.msn.com / referral";"(referral)";"1";"2"
"2024-09-18";"bing / cpc";"campaign_28";"2";"2"
"2024-09-18";"google / cpc";"campaign_24";"2";"2"
"2024-09-18";"seznam / organic";"(organic)";"1";"1"
"2024-09-18";"source_10";"(referral)";"1";"1"
"2024-09-18";"email.seznam.cz / referral";"(referral)";"1";"1"
"2024-09-18";"googleads.g.doubleclick.net / referral";"(referral)";"1";"1"
"2024-09-18";"statics.teams.cdn.office.net / referral";"(referral)";"1";"1"
"2024-09-18";"fb / paid";"campaign_8";"1";"1"
"2024-09-18";"bing / cpc";"campaign_31";"1";"1"
"2024-09-18";"bing / cpc";"campaign_32";"1";"1"
"2024-09-18";"google / cpc";"campaign_30";"1";"1"
"2024-09-18";"google / cpc";"campaign_25";"1";"1"
"2024-09-18";"source_11";"campaign_4";"1";"1"
"2024-09-18";"bing / cpc";"campaign_33";"1";"1"
"2024-09-18";"google / cpc";"campaign_34";"1";"1"
"2024-09-18";"facebook / cpc";"campaign_21";"1";"1"
"2024-09-18";"source_9";"hirlevel_c3";"1";"1"
"2024-09-18";"google / cpc";"utm_campaign";"1";"1"
"2024-09-19";"google / cpc";"campaign_24";"2";"4"
"2024-09-19";"google / cpc";"(not set)";"52";"59"
"2024-09-19";"google / organic";"(organic)";"34";"37"
"2024-09-19";"google / cpc";"campaign_16";"26";"35"
"2024-09-19";"google / cpc";"hu_brand";"28";"32"
"2024-09-19";"facebook / cpc";"campaign_14";"19";"20"
"2024-09-19";"google / cpc";"campaign_15";"13";"14"
"2024-09-19";"m.facebook.com / referral";"(referral)";"11";"11"
"2024-09-19";"redir.d-edgeconnect.media / referral";"(referral)";"10";"10"
"2024-09-19";"facebook / cpc";"campaign_18";"10";"10"
"2024-09-19";"(not set)";"(not set)";"9";"9"
"2024-09-19";"google / cpc";"hu_pmax_brand";"7";"8"
"2024-09-19";"ajanlat / offline";"campaign_2";"4";"7"
"2024-09-19";"l.facebook.com / referral";"(referral)";"6";"6"
"2024-09-19";"source_1";"(referral)";"5";"5"
"2024-09-19";"ntp.msn.com / referral";"(referral)";"2";"4"
"2024-09-19";"google / cpc";"campaign_19";"4";"4"
"2024-09-19";"google / cpc";"campaign_17";"4";"4"
"2024-09-19";"google / cpc";"campaign_23";"4";"4"
"2024-09-19";"(direct) / (none)";"(direct)";"55";"63"
"2024-09-19";"google / cpc";"(organic)";"3";"3"
"2024-09-19";"source_11";"campaign_4";"3";"3"
"2024-09-19";"ajanlat / offline";"proposal-by-phone";"3";"3"
"2024-09-19";"google / cpc";"utm_campaign";"2";"3"
"2024-09-19";"bing / organic";"(organic)";"2";"2"
"2024-09-19";"seznam / organic";"(organic)";"2";"2"
"2024-09-19";"lm.facebook.com / referral";"(referral)";"2";"2"
"2024-09-19";"google / cpc";"campaign_25";"2";"2"
"2024-09-19";"googleads.g.doubleclick.net / referral";"(referral)";"1";"1"
"2024-09-19";"hotelcms.hu / referral";"(referral)";"1";"1"
"2024-09-19";"l.instagram.com / referral";"(referral)";"1";"1"
"2024-09-19";"msn.com / referral";"(referral)";"1";"1"
"2024-09-19";"bing / cpc";"campaign_9";"1";"1"
"2024-09-19";"bing / cpc";"campaign_31";"1";"1"
"2024-09-19";"google / cpc";"campaign_20";"1";"1"
"2024-09-19";"google / cpc";"campaign_22";"1";"1"
"2024-09-19";"bing / cpc";"campaign_28";"1";"1"
"2024-09-19";"bing / cpc";"campaign_29";"1";"1"
"2024-09-19";"bing / cpc";"campaign_41";"1";"1"
"2024-09-19";"google / cpc";"campaign_26";"1";"1"
"2024-09-19";"source_9";"hirlevel_c3";"1";"1"
"2024-09-20";"(direct) / (none)";"(direct)";"51";"64"
"2024-09-20";"google / cpc";"campaign_16";"34";"40"
"2024-09-20";"google / cpc";"hu_brand";"35";"39"
"2024-09-20";"google / organic";"(organic)";"36";"36"
"2024-09-20";"google / cpc";"(not set)";"33";"35"
"2024-09-20";"facebook / cpc";"campaign_14";"20";"20"
"2024-09-20";"l.facebook.com / referral";"(referral)";"7";"8"
"2024-09-20";"google / cpc";"campaign_15";"7";"8"
"2024-09-20";"facebook / cpc";"campaign_18";"8";"8"
"2024-09-20";"google / cpc";"hu_pmax_brand";"8";"8"
"2024-09-20";"lm.facebook.com / referral";"(referral)";"6";"6"
"2024-09-20";"google / cpc";"campaign_19";"5";"6"
"2024-09-20";"google / cpc";"campaign_26";"4";"6"
"2024-09-20";"m.facebook.com / referral";"(referral)";"5";"5"
"2024-09-20";"bing / cpc";"campaign_28";"4";"5"
"2024-09-20";"google / cpc";"(organic)";"4";"4"
"2024-09-20";"redir.d-edgeconnect.media / referral";"(referral)";"3";"4"
"2024-09-20";"google / cpc";"campaign_20";"4";"4"
"2024-09-20";"(not set)";"(not set)";"2";"3"
"2024-09-20";"google / cpc";"campaign_23";"3";"3"
"2024-09-20";"ajanlat / offline";"campaign_2";"2";"3"
"2024-09-20";"google / organic";"(not set)";"1";"2"
"2024-09-20";"seznam / organic";"(organic)";"2";"2"
"2024-09-20";"l.instagram.com / referral";"(referral)";"2";"2"
"2024-09-20";"bing / cpc";"campaign_9";"2";"2"
"2024-09-20";"source_1";"(referral)";"1";"1"
"2024-09-20";"source_13";"(referral)";"1";"1"
"2024-09-20";"bing / cpc";"campaign_31";"1";"1"
"2024-09-20";"google / cpc";"campaign_30";"1";"1"
"2024-09-20";"google / cpc";"campaign_17";"1";"1"
"2024-09-20";"bing / cpc";"campaign_33";"1";"1"
"2024-09-20";"google / cpc";"campaign_27";"1";"1"
"2024-09-20";"google / cpc";"campaign_34";"1";"1"
"2024-09-20";"bing / cpc";"campaign_13";"1";"1"
"2024-09-20";"google / cpc";"campaign_22";"1";"1"
"2024-09-20";"bing / cpc";"campaign_29";"1";"1"
"2024-09-20";"facebook / cpc";"campaign_21";"1";"1"
"2024-09-20";"google / cpc";"campaign_24";"1";"1"
"2024-09-20";"facebook.com / post";"campaign_44";"1";"1"
"2024-09-20";"google / cpc";"utm_campaign";"1";"1"
"2024-09-21";"google / cpc";"campaign_20";"4";"4"
"2024-09-21";"google / cpc";"utm_campaign";"1";"1"
"2024-09-21";"(direct) / (none)";"(direct)";"35";"40"
"2024-09-21";"google / cpc";"(not set)";"30";"34"
"2024-09-21";"google / cpc";"campaign_16";"30";"34"
"2024-09-21";"l.instagram.com / referral";"(referral)";"20";"21"
"2024-09-21";"m.facebook.com / referral";"(referral)";"18";"18"
"2024-09-21";"google / cpc";"campaign_15";"13";"17"
"2024-09-21";"facebook / cpc";"campaign_14";"17";"17"
"2024-09-21";"google / cpc";"campaign_17";"1";"13"
"2024-09-21";"google / cpc";"hu_pmax_brand";"8";"9"
"2024-09-21";"redir.d-edgeconnect.media / referral";"(referral)";"6";"6"
"2024-09-21";"l.facebook.com / referral";"(referral)";"5";"5"
"2024-09-21";"lm.facebook.com / referral";"(referral)";"5";"5"
"2024-09-21";"google / cpc";"campaign_23";"5";"5"
"2024-09-21";"facebook / cpc";"campaign_18";"4";"5"
"2024-09-21";"(not set)";"(not set)";"4";"4"
"2024-09-21";"google / cpc";"hu_brand";"41";"44"
"2024-09-21";"google / cpc";"(organic)";"3";"3"
"2024-09-21";"seznam / organic";"(organic)";"3";"3"
"2024-09-21";"google / cpc";"campaign_19";"3";"3"
"2024-09-21";"google / cpc";"campaign_30";"3";"3"
"2024-09-21";"source_1";"(referral)";"2";"2"
"2024-09-21";"ajanlat / email";"campaign_7";"1";"2"
"2024-09-21";"googleads.g.doubleclick.net / referral";"(referral)";"0";"1"
"2024-09-21";"bing / cpc";"campaign_45";"1";"1"
"2024-09-21";"google / cpc";"campaign_43";"1";"1"
"2024-09-21";"google / cpc";"campaign_25";"1";"1"
"2024-09-21";"google / cpc";"campaign_27";"1";"1"
"2024-09-21";"facebook / cpc";"campaign_21";"1";"1"
"2024-09-21";"google / cpc";"campaign_26";"1";"1"
"2024-09-21";"ajanlat / offline";"proposal-by-phone";"1";"1"
"2024-09-21";"google / organic";"(organic)";"39";"43"
"2024-09-22";"google / organic";"(organic)";"45";"52"
"2024-09-22";"google / cpc";"campaign_26";"1";"1"
