"id";"search_log_id";"adults";"children";"picked_room";"picked_price";"picked_room"
"6025";"112870";"2";"3";NULL;NULL;NULL
"6026";"112871";"2";"0";NULL;NULL;NULL
"6027";"112872";"2";"0";NULL;NULL;NULL
"6028";"112873";"2";"0";NULL;NULL;NULL
"6029";"112873";"2";"0";NULL;NULL;NULL
"6030";"112873";"2";"0";NULL;NULL;NULL
"6031";"112874";"2";"0";NULL;NULL;NULL
"6032";"112875";"2";"0";NULL;NULL;NULL
"6033";"112876";"2";"0";NULL;NULL;NULL
"6034";"112877";"2";"0";NULL;NULL;NULL
"6035";"112878";"2";"0";NULL;NULL;NULL
"6036";"112879";"2";"2";NULL;NULL;NULL
"6037";"112880";"2";"2";NULL;NULL;NULL
"6038";"112881";"1";"2";NULL;NULL;NULL
"6039";"112882";"2";"0";NULL;NULL;NULL
"6040";"112883";"2";"2";NULL;NULL;NULL
"6041";"112884";"2";"2";NULL;NULL;NULL
"6042";"112885";"2";"2";NULL;NULL;NULL
"6043";"112886";"2";"2";NULL;NULL;NULL
"6044";"112887";"2";"2";NULL;NULL;NULL
"6045";"112888";"2";"0";NULL;NULL;NULL
"6046";"112889";"2";"1";NULL;NULL;NULL
"6047";"112890";"2";"0";NULL;NULL;NULL
"6048";"112891";"2";"0";NULL;NULL;NULL
"6049";"112892";"2";"1";NULL;NULL;NULL
"6050";"112893";"2";"0";NULL;NULL;NULL
"6051";"112894";"2";"1";NULL;NULL;NULL
"6052";"112895";"2";"0";NULL;NULL;NULL
"6053";"112896";"2";"0";NULL;NULL;NULL
"6054";"112897";"2";"0";NULL;NULL;NULL
"6055";"112898";"2";"0";NULL;NULL;NULL
"6056";"112899";"2";"0";NULL;NULL;NULL
"6057";"112900";"2";"0";NULL;NULL;NULL
"6059";"112902";"1";"0";NULL;NULL;NULL
"6060";"112903";"2";"0";NULL;NULL;NULL
"6061";"112904";"2";"0";NULL;NULL;NULL
"6062";"112905";"2";"0";NULL;NULL;NULL
"6063";"112906";"2";"2";"RES";"339403.00";"ROOMAA"
"6064";"112907";"2";"1";NULL;NULL;NULL
"6065";"112908";"2";"1";NULL;NULL;NULL
"6066";"112909";"2";"0";NULL;NULL;NULL
"6067";"112910";"2";"2";NULL;NULL;NULL
"6068";"112911";"2";"1";NULL;NULL;NULL
"6069";"112912";"2";"0";NULL;NULL;NULL
"6070";"112913";"2";"1";NULL;NULL;NULL
"6071";"112914";"2";"0";NULL;NULL;NULL
"6072";"112915";"2";"0";NULL;NULL;NULL
"6073";"112916";"2";"3";NULL;NULL;NULL
"6074";"112917";"2";"2";NULL;NULL;NULL
"6075";"112918";"2";"2";NULL;NULL;NULL
"6076";"112919";"2";"3";NULL;NULL;NULL
"6077";"112920";"2";"0";NULL;NULL;NULL
"6078";"112921";"2";"2";NULL;NULL;NULL
"6079";"112922";"2";"2";NULL;NULL;NULL
