,id,search_log_room_id,age,baby_bed,hotel_id
0,1398,3839,14,0,hotel_2
1,1399,3839,12,0,hotel_2
2,1400,3839,7,0,hotel_2
3,1401,3841,1,0,hotel_2
4,1402,3841,1,0,hotel_2
5,1403,3841,3,0,hotel_2
6,1404,3842,6,0,hotel_2
7,1405,3842,1,0,hotel_2
8,1406,3843,6,0,hotel_2
9,1407,3843,1,0,hotel_2
10,1408,3844,9,0,hotel_2
11,1409,3844,12,0,hotel_2
12,1410,3853,12,0,hotel_2
13,1411,3855,12,0,hotel_2
14,1412,3856,8,0,hotel_2
15,1413,3857,6,0,hotel_2
16,1414,3857,13,0,hotel_2
17,1415,3858,5,0,hotel_2
18,1416,3859,14,0,hotel_2
19,1417,3864,8,0,hotel_2
20,1418,3867,8,0,hotel_2
21,1419,3872,5,0,hotel_2
22,1420,3872,2,1,hotel_2
23,1421,3873,8,0,hotel_2
24,1422,3873,11,0,hotel_2
25,1423,3874,8,0,hotel_2
26,1424,3874,11,0,hotel_2
27,1425,3875,8,0,hotel_2
28,1426,3876,11,0,hotel_2
29,1427,3879,0,1,hotel_2
30,1428,3884,11,0,hotel_2
31,1429,3884,8,0,hotel_2
32,1430,3885,11,0,hotel_2
33,1431,3885,8,0,hotel_2
34,1432,3890,14,0,hotel_2
35,1433,3891,14,0,hotel_2
36,1434,3892,2,1,hotel_2
37,1435,3895,10,0,hotel_2
38,1436,3895,3,0,hotel_2
39,1437,3903,8,0,hotel_2
40,1438,3905,12,0,hotel_2
41,1439,3906,12,0,hotel_2
42,1440,3907,12,0,hotel_2
43,1441,3908,0,0,hotel_2
44,1442,3908,6,0,hotel_2
45,1443,3908,10,0,hotel_2
46,1444,3912,5,0,hotel_2
47,1445,3912,0,1,hotel_2
48,1446,3917,8,0,hotel_2
49,1447,3917,8,0,hotel_2
50,1448,3917,5,0,hotel_2
51,1449,3921,11,0,hotel_2
52,1450,3923,10,0,hotel_2
53,1451,3923,13,0,hotel_2
54,1452,3926,3,0,hotel_2
55,1453,3926,8,0,hotel_2
56,1454,3927,3,0,hotel_2
57,1455,3927,8,0,hotel_2
58,1456,3928,3,0,hotel_2
59,1457,3928,8,0,hotel_2
60,1458,3933,10,0,hotel_2
61,1459,3934,11,0,hotel_2
62,1460,3934,6,0,hotel_2
63,1461,3935,10,0,hotel_2
64,1462,3938,8,0,hotel_2
65,1463,3938,8,0,hotel_2
66,1464,3943,0,1,hotel_2
67,1465,3943,3,0,hotel_2
68,1466,3943,4,0,hotel_2
69,1467,3943,6,0,hotel_2
70,1468,3954,11,0,hotel_2
71,1469,3954,13,0,hotel_2
72,1470,3962,3,0,hotel_2
73,1471,3962,7,0,hotel_2
74,1472,3966,3,0,hotel_2
75,1473,3966,5,0,hotel_2
