,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
0,2476,1895344029.1724419415,1726611121,,(not set),(not set),hotel_2
1,2518,329676168.1726611727,1726611777,google,cpc,(not set),hotel_2
2,2531,1097283936.1726622460,1726623102,,(not set),(not set),hotel_2
3,2532,1609422878.1726626176,1726626233,google,cpc,(not set),hotel_2
4,2533,444319917.1726628638,1726628866,facebook,cpc,campaign_1,hotel_2
5,2534,1609422878.1726626176,1726629257,google,cpc,(not set),hotel_2
6,2535,1547637228.1726629124,1726629330,google,cpc,(not set),hotel_2
7,2536,1822700556.1726629534,1726629769,google,cpc,(not set),hotel_2
8,2537,936257318.1726629931,1726630110,,(not set),(not set),hotel_2
9,2538,938243158.1726629931,1726630596,,(not set),(not set),hotel_2
10,2539,1818704685.1726631152,1726631181,google,cpc,(not set),hotel_2
11,2540,2086860104.1723147529,1726631239,google,cpc,(not set),hotel_2
12,2541,1134251514.1714727030,1726631370,,(not set),(not set),hotel_2
13,2542,1135590025.1726631747,1726631781,google,cpc,(not set),hotel_2
14,2543,1359136127.1726631933,1726632698,google,cpc,(not set),hotel_2
15,2544,987102199.1726632606,1726632717,,(not set),(not set),hotel_2
16,2545,1878700571.1725684071,1726632895,facebook,cpc,campaign_1,hotel_2
17,2546,1163460934.1726427436,1726633646,facebook,cpc,campaign_1,hotel_2
18,2547,90656962.1719403309,1726634118,,(not set),(not set),hotel_2
19,2548,809640841.1726634453,1726634522,facebook,cpc,campaign_1,hotel_2
20,2549,1676164115.1726634505,1726634629,google,cpc,(not set),hotel_2
21,2550,1954949012.1726634679,1726634948,google,cpc,(not set),hotel_2
22,2551,1090852168.1726635047,1726635141,google,cpc,(not set),hotel_2
23,2552,126163163.1714039697,1726635247,google,cpc,(not set),hotel_2
24,2553,979472975.1726427818,1726635543,,(not set),(not set),hotel_2
25,2554,892142437.1726508325,1726635941,,(not set),(not set),hotel_2
26,2555,662503702.1726635752,1726635975,,(not set),(not set),hotel_2
27,2556,368960446.1726465979,1726636032,google,organic,(not set),hotel_2
28,2557,1559133054.1726636166,1726636343,google,cpc,(not set),hotel_2
29,2558,333041844.1721541438,1726636384,,(not set),(not set),hotel_2
30,2559,1614975478.1726412762,1726637023,,(not set),(not set),hotel_2
31,2560,1539511479.1725818356,1726637075,facebook,cpc,campaign_1,hotel_2
32,2561,879854679.1726637100,1726637348,,(not set),(not set),hotel_2
33,2562,1797841328.1726637146,1726637595,,(not set),(not set),hotel_2
34,2563,61248692.1726637933,1726638155,,(not set),(not set),hotel_2
35,2564,2011141322.1722487847,1726638507,,(not set),(not set),hotel_2
36,2565,1026185662.1726638599,1726638619,duckduckgo.com,referral,(not set),hotel_2
37,2566,61343226.1718614451,1726638697,,(not set),(not set),hotel_2
38,2567,1872136031.1726039783,1726639238,google,cpc,(not set),hotel_2
39,2568,527424652.1725204681,1726639597,google,cpc,(not set),hotel_2
40,2569,1950145900.1719037949,1726639975,,(not set),(not set),hotel_2
41,2570,1538206991.1722269842,1726640082,,(not set),(not set),hotel_2
42,2571,1642810897.1721646769,1726640336,google,cpc,hu_brand,hotel_2
43,2572,332629290.1726386155,1726640431,google,cpc,(not set),hotel_2
44,2573,1981528761.1720756758,1726640890,,(not set),(not set),hotel_2
45,2574,1305018235.1726641296,1726641550,google,cpc,(not set),hotel_2
46,2575,987181329.1726641630,1726641655,,(not set),(not set),hotel_2
47,2576,1495489132.1723753501,1726641675,,(not set),(not set),hotel_2
48,2577,1972375390.1726642055,1726642100,google,organic,(not set),hotel_2
49,2578,1957723690.1726320326,1726642178,l.facebook.com,referral,(not set),hotel_2
50,2579,1180354942.1714115850,1726642339,google,organic,(not set),hotel_2
51,2580,96156768.1726499487,1726642527,google,cpc,(not set),hotel_2
52,2581,1902247423.1726642418,1726642654,google,cpc,(not set),hotel_2
53,2582,1300660841.1726066798,1726642697,,(not set),(not set),hotel_2
54,2583,334565898.1726642311,1726642927,google,cpc,(not set),hotel_2
55,2584,1590454340.1726642788,1726642968,,(not set),(not set),hotel_2
56,2585,1356561517.1726642965,1726643016,google,organic,(not set),hotel_2
57,2586,2113315578.1720030897,1726643169,,(not set),(not set),hotel_2
58,2587,1352765292.1726643138,1726643222,facebook,cpc,campaign_1,hotel_2
59,2588,1884705756.1721661555,1726643379,,(not set),(not set),hotel_2
60,2589,1987173378.1726643458,1726643549,google,cpc,(not set),hotel_2
61,2590,1298992706.1726643611,1726643809,google,cpc,(not set),hotel_2
62,2591,561972567.1726231283,1726643817,google,cpc,(not set),hotel_2
63,2592,1419319933.1726643598,1726644033,google,cpc,(not set),hotel_2
64,2593,674381166.1716405544,1726644055,google,cpc,(not set),hotel_2
65,2594,499546145.1725952280,1726644087,,(not set),(not set),hotel_2
66,2595,619829764.1721980493,1726644245,google,cpc,(not set),hotel_2
67,2596,734720333.1726222891,1726644342,google,cpc,(not set),hotel_2
68,2597,866013627.1726644150,1726644577,google,cpc,(not set),hotel_2
69,2598,748973734.1726644805,1726644955,google,cpc,(not set),hotel_2
70,2599,1824475114.1726645025,1726645038,google,cpc,(not set),hotel_2
71,2600,1555601138.1713352288,1726645192,,(not set),(not set),hotel_2
72,2601,1781460653.1725010114,1726645240,,(not set),(not set),hotel_2
73,2602,744209247.1723531867,1726645778,bing,cpc,campaign_33,hotel_2
74,2603,313439243.1726645247,1726646110,google,cpc,(not set),hotel_2
75,2604,72916399.1726646260,1726646307,google,cpc,(not set),hotel_2
76,2605,332629290.1726386155,1726646375,,(not set),(not set),hotel_2
77,2606,121914643.1726646382,1726646412,google,cpc,(not set),hotel_2
78,2607,1119186976.1726645759,1726646478,google,organic,(not set),hotel_2
79,2608,1550594793.1714028899,1726646495,,(not set),(not set),hotel_2
80,2609,1047971889.1726646322,1726646537,google,organic,(not set),hotel_2
81,2610,1598878689.1726153578,1726646544,,(not set),(not set),hotel_2
82,2611,138493512.1726646487,1726646654,google,cpc,(not set),hotel_2
83,2612,747175163.1726646049,1726646658,google,cpc,(not set),hotel_2
84,2613,1460800786.1726646914,1726646966,google,cpc,(not set),hotel_2
85,2614,258231249.1725974378,1726647059,google,cpc,(not set),hotel_2
86,2615,381134108.1724338315,1726647181,,(not set),(not set),hotel_2
87,2616,2085930076.1726647425,1726647476,(direct),(none),(not set),hotel_2
88,2617,1789373308.1726647326,1726647539,l.facebook.com,referral,(not set),hotel_2
89,2618,338232202.1726647770,1726647816,google,cpc,(not set),hotel_2
90,2619,115036585.1726590789,1726647880,,(not set),(not set),hotel_2
91,2620,192467191.1726647644,1726647985,google,cpc,(not set),hotel_2
92,2621,1775235317.1726648036,1726648186,google,cpc,(not set),hotel_2
93,2622,413072042.1726648332,1726648452,google,cpc,(not set),hotel_2
94,2623,1506565158.1726647919,1726648688,google,cpc,(not set),hotel_2
95,2624,744209247.1723531867,1726648882,bing,cpc,campaign_33,hotel_2
96,2625,691920509.1726649049,1726649077,google,cpc,(not set),hotel_2
97,2626,1972375390.1726642055,1726649121,google,cpc,(not set),hotel_2
98,2627,1931627784.1726649029,1726649161,google,cpc,(not set),hotel_2
99,2628,516301307.1726648829,1726649168,,(not set),(not set),hotel_2
100,2629,190270335.1726145327,1726649338,,(not set),(not set),hotel_2
101,2630,134477747.1726648351,1726649637,google,cpc,,hotel_2
102,2631,1582461412.1716829339,1726649677,facebook,cpc,campaign_1,hotel_2
103,2632,1695904396.1726648929,1726649803,google,organic,(not set),hotel_2
104,2633,549545498.1726480994,1726649933,(direct),(none),(not set),hotel_2
105,2635,1028360517.1726061305,1726650404,google,cpc,(not set),hotel_2
106,2636,1824708459.1726650411,1726650424,(direct),(none),(not set),hotel_2
107,2637,1218444391.1726647987,1726650531,google,cpc,(not set),hotel_2
108,2638,663818693.1726650604,1726650746,bing,cpc,AT ,hotel_2
109,2639,1808519733.1726650699,1726650771,google,cpc,(not set),hotel_2
110,2641,981362193.1726651367,1726651533,google,organic,(not set),hotel_2
111,2642,276531283.1726651957,1726652060,,(not set),(not set),hotel_2
112,2643,1525032623.1714377949,1726652349,google,cpc,(not set),hotel_2
