,search_log_id,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total,hotel_id
135,83390,459367.0,510407.8,0.0,0,51040.8,0.0,hotel_2
136,83420,134946.0,134946.0,0.0,0,0.0,0.0,hotel_2
137,83417,123468.0,142742.22,0.0,0,14274.22,5000.0,hotel_2
138,83434,201004.0,228893.34,0.0,0,22889.34,5000.0,hotel_2
139,83445,191678.0,212975.6,0.0,0,21297.6,0.0,hotel_2
140,83464,118609.0,118609.0,0.0,0,0.0,0.0,hotel_2
141,83499,143716.0,167076.0,0.0,0,18360.0,5000.0,hotel_2
142,83946,141120.0,141120.0,0.0,0,0.0,0.0,hotel_2
143,83948,196768.0,218631.11,0.0,0,21863.11,0.0,hotel_2
144,84028,86553.0,97238.56,0.0,0,10685.56,0.0,hotel_2
145,84047,278827.0,328031.77,0.0,0,49204.77,0.0,hotel_2
146,84068,402042.0,452268.89,0.0,0,45226.89,5000.0,hotel_2
147,84072,163483.0,209304.44,0.0,0,20930.44,24891.0,hotel_2
148,84063,330480.0,330480.0,0.0,0,0.0,0.0,hotel_2
149,84123,103116.0,124847.78,0.0,0,12484.78,9247.0,hotel_2
150,84132,111262.0,123624.44,0.0,0,12362.44,0.0,hotel_2
151,84143,300204.0,300204.0,0.0,0,0.0,0.0,hotel_2
152,84150,310.09,312.49,31.94,0,34.34,0.0,hotel_2
153,84293,415073.0,518400.0,0.0,0,51840.0,51487.0,hotel_2
154,84291,125983.0,141536.44,0.0,0,15553.44,0.0,hotel_2
155,84519,165600.0,165600.0,0.0,0,0.0,0.0,hotel_2
156,84533,699.98,792.76,0.0,0,79.28,13.5,hotel_2
157,84583,334293.0,376992.22,0.0,0,37699.22,5000.0,hotel_2
158,84586,233.32,233.32,0.0,0,0.0,0.0,hotel_2
159,84628,229131.0,260145.55,0.0,0,26014.55,5000.0,hotel_2
160,84643,292475.0,324972.22,0.0,0,32497.22,0.0,hotel_2
161,84702,308880.0,308880.0,0.0,0,0.0,0.0,hotel_2
162,84742,104102.0,165240.0,0.0,0,16524.0,44614.0,hotel_2
163,84749,194004.0,194004.0,0.0,0,0.0,0.0,hotel_2
164,84769,569.9,569.9,0.0,0,0.0,0.0,hotel_2
165,84781,296645.0,338885.11,0.0,0,37240.11,5000.0,hotel_2
166,84815,347555.0,386172.2,0.0,0,38617.2,0.0,hotel_2
167,85091,224132.0,254591.11,0.0,0,25459.11,5000.0,hotel_2
168,85104,188568.0,209520.0,0.0,0,20952.0,0.0,hotel_2
169,85120,278460.0,278460.0,0.0,0,0.0,0.0,hotel_2
170,85118,317.9125,394.48,0.0,0,43.35,33.22,hotel_2
171,85144,408.25,467.5,0.0,0,46.75,12.5,hotel_2
172,85252,209304.0,209304.0,0.0,0,0.0,0.0,hotel_2
173,85255,208754.0,237504.44,0.0,0,23750.44,5000.0,hotel_2
174,85298,158400.0,158400.0,0.0,0,0.0,0.0,hotel_2
175,85305,83128.0,97920.0,0.0,0,9792.0,5000.0,hotel_2
176,85319,127296.0,127296.0,0.0,0,0.0,0.0,hotel_2
177,85335,515.9,515.9,0.0,0,0.0,0.0,hotel_2
178,85342,254181.0,285561.33,0.0,0,31380.33,0.0,hotel_2
179,85353,146059.0,162287.78,0.0,0,16228.78,0.0,hotel_2
180,85388,285647.0,285647.0,0.0,0,0.0,0.0,hotel_2
181,85408,418927.0,471474.44,0.0,0,47147.44,5400.0,hotel_2
182,85474,201167.0,250307.78,2990.0,0,25030.78,27100.0,hotel_2
183,85777,138208.0,159120.0,0.0,0,15912.0,5000.0,hotel_2
184,85793,419.4,466.0,0.0,0,46.6,0.0,hotel_2
185,85856,170302.0,246655.56,0.0,0,24665.56,51688.0,hotel_2
186,85876,327.37,344.98,20.3,0,37.91,0.0,hotel_2
187,85930,365.6,410.74,0.0,0,45.14,0.0,hotel_2
188,85931,451.35,501.5,0.0,0,50.15,0.0,hotel_2
189,85942,415.2,368.0,47.2,0,0.0,0.0,hotel_2
190,85949,290229.0,328032.22,0.0,0,32803.22,5000.0,hotel_2
191,85947,366673.0,432575.56,0.0,0,43257.56,22645.0,hotel_2
192,85965,223567.0,248407.78,0.0,0,24840.78,0.0,hotel_2
193,85969,116141.0,153000.0,0.0,0,15300.0,21559.0,hotel_2
194,85981,53587.0,65820.0,0.0,0,7233.0,5000.0,hotel_2
195,85993,241301.0,273667.78,0.0,0,27366.78,5000.0,hotel_2
196,86041,157529.0,175032.22,0.0,0,17503.22,0.0,hotel_2
197,86075,152572.0,169524.44,0.0,0,16952.44,0.0,hotel_2
198,86089,292599.0,328722.33,0.0,0,36123.33,0.0,hotel_2
199,86117,13175.0,181305.55,0.0,150000,18130.55,0.0,hotel_2
200,86102,159622.0,179328.44,0.0,0,19706.44,0.0,hotel_2
