"search_log_id";"total_price_final";"rooms_total_price";"upsell_total_price";"vouchers_total_price";"loyalty_discount_total";"redeemed_loyalty_points_total"
"76659";"510";"510";"0.00";"0";"0.00";"0.00"
"76669";"259.3";"302";"0.00";"0";"30.20";"12.50"
"76674";"140288";"155875.56";"0.00";"0";"15587.56";"0.00"
"76703";"140148";"140148";"0.00";"0";"0.00";"0.00"
"76733";"104633";"123168";"0.00";"0";"13535.00";"5000.00"
"76755";"137591.5";"137591.5";"0.00";"0";"0.00";"0.00"
"76769";"62593";"62593";"0.00";"0";"0.00";"0.00"
"76810";"216618";"216618";"0.00";"0";"0.00";"0.00"
"76849";"169987";"163037";"6950.00";"0";"0.00";"0.00"
"76932";"244455";"271616.67";"0.00";"0";"27161.67";"0.00"
"76957";"257732";"295168";"0.00";"0";"32436.00";"5000.00"
"76962";"119952";"119952";"0.00";"0";"0.00";"0.00"
"76997";"112914";"112914";"0.00";"0";"0.00";"0.00"
"77115";"160834";"178704.44";"0.00";"0";"17870.44";"0.00"
"77209";"220320";"220320";"0.00";"0";"0.00";"0.00"
"77224";"143583";"166926.56";"0.00";"0";"18343.56";"5000.00"
"77272";"269590";"305100";"0.00";"0";"30510.00";"5000.00"
"77278";"107363";"124847.78";"0.00";"0";"12484.78";"5000.00"
"77323";"131819";"153710.22";"0.00";"0";"16891.22";"5000.00"
"77317";"403600";"445122.22";"2990.00";"0";"44512.22";"0.00"
"77328";"342598";"380664.44";"0.00";"0";"38066.44";"0.00"
"77469";"366470";"431424.4";"0.00";"0";"43142.40";"21812.00"
"77492";"136598";"151775.56";"0.00";"0";"15177.56";"0.00"
"77498";"974.88";"1083.2";"0.00";"0";"108.32";"0.00"
"77538";"422280";"422280";"0.00";"0";"0.00";"0.00"
"77553";"97409";"109434.78";"0.00";"0";"12025.78";"0.00"
"77560";"973.6";"973.6";"0.00";"0";"0.00";"0.00"
"77577";"95246";"111384.44";"0.00";"0";"11138.44";"5000.00"
"77616";"131598";"151775.56";"0.00";"0";"15177.56";"5000.00"
"77854";"129879";"145913.4";"0.00";"0";"16034.40";"0.00"
"77980";"293.5";"340";"0.00";"0";"34.00";"12.50"
"77991";"110160";"129600";"0.00";"0";"19440.00";"0.00"
"77995";"395.76";"395.76";"0.00";"0";"0.00";"0.00"
"77993";"127718";"160392.56";"0.00";"0";"17625.56";"15049.00"
"78001";"306";"306";"0.00";"0";"0.00";"0.00"
"78004";"306";"306";"0.00";"0";"0.00";"0.00"
"78009";"442";"442";"0.00";"0";"0.00";"0.00"
"78030";"358554";"421828.23";"0.00";"0";"63274.23";"0.00"
"78048";"475263";"548045.56";"0.00";"0";"54804.56";"17978.00"
"78052";"205200";"205200";"0.00";"0";"0.00";"0.00"
"78078";"155434";"178704.44";"0.00";"0";"17870.44";"5400.00"
"78079";"144310";"160344.44";"0.00";"0";"16034.44";"0.00"
"78083";"139310";"160344.44";"0.00";"0";"16034.44";"5000.00"
"78082";"98550";"115055.56";"0.00";"0";"11505.56";"5000.00"
"78359";"115200";"115200";"0.00";"0";"0.00";"0.00"
"78545";"168912";"168912";"0.00";"0";"0.00";"0.00"
"78547";"142724";"165961.56";"0.00";"0";"18237.56";"5000.00"
"78601";"674730";"749700";"0.00";"0";"74970.00";"0.00"
"78622";"334336";"371484.44";"0.00";"0";"37148.44";"0.00"
"78755";"204304";"232560";"0.00";"0";"23256.00";"5000.00"
"78792";"188898";"209886.66";"0.00";"0";"20988.66";"0.00"
"78794";"188898";"209886.66";"0.00";"0";"20988.66";"0.00"
"78847";"134903";"155447.78";"0.00";"0";"15544.78";"5000.00"
"78857";"141198";"159120";"2990.00";"0";"15912.00";"0.00"
"78884";"153001";"183060";"0.00";"0";"18306.00";"11753.00"
"78888";"449401";"510499.89";"0.00";"0";"56098.89";"5000.00"
"79003";"142272";"159836.44";"0.00";"0";"17564.44";"0.00"
"79005";"379645";"421827.78";"0.00";"0";"42182.78";"0.00"
"79021";"199464";"269460";"6950.00";"0";"26946.00";"50000.00"
"79032";"176191";"212220";"0.00";"0";"21222.00";"14807.00"
"79040";"734755";"739755";"0.00";"0";"0.00";"5000.00"
"79074";"545292";"605880";"0.00";"0";"60588.00";"0.00"
"79101";"104058";"121175.56";"0.00";"0";"12117.56";"5000.00"
"79274";"279072";"279072";"0.00";"0";"0.00";"0.00"
"79306";"329654";"370352";"0.00";"0";"40698.00";"0.00"
"79640";"132192";"146880";"0.00";"0";"14688.00";"0.00"
"79635";"88636";"104040";"0.00";"0";"10404.00";"0.00"
"79652";"88128";"97920";"0.00";"0";"9792.00";"0.00"
"79656";"190998";"212220";"0.00";"0";"21222.00";"0.00"
"79682";"117871";"130967.78";"0.00";"0";"13096.78";"0.00"
"79784";"143263";"160949.78";"0.00";"0";"17686.78";"0.00"
"79790";"158134";"177656.78";"0.00";"0";"19522.78";"0.00"
"79920";"315566";"356184.44";"0.00";"0";"35618.44";"5000.00"
"79947";"108232";"120257.78";"0.00";"0";"12025.78";"0.00"
"80348";"169646";"188495.56";"0.00";"0";"18849.56";"0.00"
"80364";"110622";"129896.33";"0.00";"0";"14274.33";"5000.00"
"80461";"156345";"175950";"2990.00";"0";"17595.00";"5000.00"
"80471";"181907";"214008.23";"0.00";"0";"32101.23";"0.00"
"80506";"100754";"117504.44";"0.00";"0";"11750.44";"5000.00"
"80532";"132678";"210600";"0.00";"0";"21060.00";"56862.00"
"80623";"209240";"199440";"9800.00";"0";"0.00";"0.00"
"80648";"280296";"280296";"0.00";"0";"0.00";"0.00"
"80679";"140752";"154224.44";"6950.00";"0";"15422.44";"5000.00"
"80724";"321523.2";"321523.2";"0.00";"0";"0.00";"0.00"
"80856";"238320";"238320";"0.00";"0";"0.00";"0.00"
"80867";"337090";"374544.44";"0.00";"0";"37454.44";"0.00"
"80974";"129879";"145913.44";"0.00";"0";"16034.44";"0.00"
"81000";"463192";"531414.12";"11490.00";"0";"79712.12";"0.00"
"81011";"174240";"174240";"0.00";"0";"0.00";"0.00"
"81085";"393822";"393822";"0.00";"0";"0.00";"0.00"
"81100";"470.93";"529.07";"0.00";"0";"58.14";"0.00"
"81117";"101877";"118752.22";"0.00";"0";"11875.22";"5000.00"
"81240";"222551";"268858.89";"0.00";"0";"29544.89";"16763.00"
"81270";"296.82";"329.8";"0.00";"0";"32.98";"0.00"
"81337";"92123";"115153.76";"0.00";"0";"23030.76";"0.00"
"81343";"341292";"422770";"0.00";"0";"42277.00";"39201.00"
"81361";"305651";"345167.78";"0.00";"0";"34516.78";"5000.00"
"81377";"815680";"911866.67";"0.00";"0";"91186.67";"5000.00"
"81553";"348.5";"348.5";"0.00";"0";"0.00";"0.00"
"81563";"208093";"223992.22";"11500.00";"0";"22399.22";"5000.00"
"81572";"105203";"116892.22";"0.00";"0";"11689.22";"0.00"
"81795";"156219";"173576.66999999998";"0.00";"0";"17357.67";"0.00"
