"id";"search_log_id";"adults";"children";"picked_room";"picked_price";"picked_room"
"3782";"76486";"2";"0";NULL;NULL;NULL
"3824";"76528";"2";"0";NULL;NULL;NULL
"3837";"76541";"2";"0";NULL;NULL;NULL
"3838";"76542";"2";"0";NULL;NULL;NULL
"3839";"76543";"2";"3";NULL;NULL;NULL
"3840";"76544";"2";"0";NULL;NULL;NULL
"3841";"76545";"2";"3";NULL;NULL;NULL
"3842";"76546";"2";"2";NULL;NULL;NULL
"3843";"76547";"2";"2";NULL;NULL;NULL
"3844";"76548";"2";"2";NULL;NULL;NULL
"3845";"76549";"2";"0";NULL;NULL;NULL
"3846";"76550";"2";"0";NULL;NULL;NULL
"3847";"76551";"2";"0";NULL;NULL;NULL
"3848";"76552";"2";"0";NULL;NULL;NULL
"3849";"76553";"2";"0";NULL;NULL;NULL
"3850";"76554";"2";"0";NULL;NULL;NULL
"3851";"76555";"2";"0";NULL;NULL;NULL
"3852";"76556";"2";"0";NULL;NULL;NULL
"3853";"76556";"0";"1";NULL;NULL;NULL
"3854";"76557";"2";"0";NULL;NULL;NULL
"3855";"76558";"2";"1";NULL;NULL;NULL
"3856";"76559";"2";"1";NULL;NULL;NULL
"3857";"76560";"2";"2";NULL;NULL;NULL
"3858";"76561";"2";"1";NULL;NULL;NULL
"3859";"76562";"2";"1";NULL;NULL;NULL
"3860";"76563";"2";"0";NULL;NULL;NULL
"3861";"76564";"2";"0";NULL;NULL;NULL
"3862";"76565";"2";"0";NULL;NULL;NULL
"3863";"76566";"2";"0";NULL;NULL;NULL
"3864";"76567";"2";"1";NULL;NULL;NULL
"3865";"76568";"2";"0";NULL;NULL;NULL
"3866";"76569";"2";"0";NULL;NULL;NULL
"3867";"76570";"2";"1";NULL;NULL;NULL
"3868";"76571";"2";"0";NULL;NULL;NULL
"3869";"76572";"1";"0";NULL;NULL;NULL
"3870";"76573";"2";"0";NULL;NULL;NULL
"3871";"76574";"2";"0";NULL;NULL;NULL
"3872";"76575";"2";"2";NULL;NULL;NULL
"3873";"76576";"2";"2";NULL;NULL;NULL
"3874";"76577";"2";"2";NULL;NULL;NULL
"3875";"76578";"2";"1";NULL;NULL;NULL
"3876";"76578";"1";"1";NULL;NULL;NULL
"3877";"76579";"2";"0";NULL;NULL;NULL
"3878";"76580";"2";"0";NULL;NULL;NULL
"3879";"76581";"2";"1";NULL;NULL;NULL
"3880";"76582";"1";"0";NULL;NULL;NULL
"3881";"76583";"2";"0";NULL;NULL;NULL
"3882";"76584";"2";"0";NULL;NULL;NULL
"3883";"76585";"2";"0";NULL;NULL;NULL
"3884";"76586";"2";"2";NULL;NULL;NULL
"3885";"76587";"2";"2";NULL;NULL;NULL
"3886";"76588";"2";"0";NULL;NULL;NULL
"3887";"76589";"2";"0";NULL;NULL;NULL
"3888";"76590";"2";"0";NULL;NULL;NULL
"3889";"76591";"2";"0";NULL;NULL;NULL
"3890";"76592";"2";"1";NULL;NULL;NULL
"3891";"76593";"2";"1";NULL;NULL;NULL
"3892";"76594";"2";"1";NULL;NULL;NULL
"3893";"76595";"2";"0";NULL;NULL;NULL
"3894";"76596";"3";"0";NULL;NULL;NULL
"3895";"76597";"2";"2";NULL;NULL;NULL
"3896";"76598";"2";"0";NULL;NULL;NULL
"3897";"76599";"2";"0";NULL;NULL;NULL
"3898";"76600";"2";"0";NULL;NULL;NULL
"3899";"76601";"2";"0";NULL;NULL;NULL
"3900";"76602";"2";"0";NULL;NULL;NULL
"3901";"76603";"2";"0";NULL;NULL;NULL
"3902";"76604";"2";"0";NULL;NULL;NULL
"3903";"76605";"2";"1";NULL;NULL;NULL
"3904";"76606";"2";"0";NULL;NULL;NULL
"3905";"76607";"2";"1";NULL;NULL;NULL
"3906";"76608";"2";"1";NULL;NULL;NULL
"3907";"76609";"2";"1";NULL;NULL;NULL
"3908";"76610";"2";"3";NULL;NULL;NULL
"3909";"76611";"2";"0";NULL;NULL;NULL
"3910";"76612";"2";"0";NULL;NULL;NULL
"3911";"76613";"2";"0";NULL;NULL;NULL
"3912";"76614";"2";"2";NULL;NULL;NULL
"3913";"76615";"2";"0";NULL;NULL;NULL
"3914";"76616";"2";"0";NULL;NULL;NULL
"3915";"76617";"2";"0";NULL;NULL;NULL
"3916";"76618";"2";"0";NULL;NULL;NULL
"3917";"76619";"2";"3";NULL;NULL;NULL
"3918";"76620";"2";"0";NULL;NULL;NULL
"3919";"76621";"2";"0";NULL;NULL;NULL
"3920";"76622";"2";"0";NULL;NULL;NULL
"3921";"76623";"2";"1";NULL;NULL;NULL
"3922";"76624";"2";"0";NULL;NULL;NULL
"3923";"76625";"2";"2";NULL;NULL;NULL
"3924";"76626";"2";"0";NULL;NULL;NULL
"3925";"76627";"2";"0";NULL;NULL;NULL
"3926";"76628";"2";"2";NULL;NULL;NULL
"3927";"76629";"2";"2";NULL;NULL;NULL
"3928";"76630";"2";"2";NULL;NULL;NULL
