,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
1477,6838,428343138.1714016683,1727002545,google,cpc,hu_brand,hotel_1
1478,6839,1289647335.1727002518,1727002817,google,cpc,hu_brand,hotel_1
1479,6840,756979715.1724378604,1727002974,google,organic,(not set),hotel_1
1480,6841,1697037974.1726856409,1727003582,google,cpc,hu_brand,hotel_1
1481,6842,760454191.1727003757,1727003809,google,cpc,hu_pmax_brand,hotel_1
1482,6843,753231318.1727003711,1727003815,google,cpc,hu_brand,hotel_1
1483,6844,1585908976.1727003961,1727004010,google,organic,(not set),hotel_1
1484,6845,631861093.1714310499,1727004061,google,cpc,hu_brand,hotel_1
1485,6846,1454847758.1727004169,1727004372,(direct),(not set),(not set),hotel_1
1486,6847,1625906218.1727004560,1727004693,facebook,cpc,campaign_1,hotel_1
1487,6848,613993606.1726815355,1727004695,google,organic,(not set),hotel_1
1488,6849,601824780.1726592881,1727004788,google,cpc,,hotel_1
1489,6850,1618248318.1727004847,1727005019,facebook,cpc,campaign_1,hotel_1
1490,6851,533905146.1726857989,1727005111,,nan,(not set),hotel_1
1491,6852,47266960.1726037346,1727005116,(direct),(not set),(not set),hotel_1
1492,6853,782181670.1727005171,1727005191,redir.d-edgeconnect.media,referral,(not set),hotel_1
1493,6854,2122409411.1722625711,1727005805,google,cpc,hu_brand,hotel_1
1494,6855,161447520.1726944458,1727005854,google,cpc,hu_brand,hotel_1
1495,6856,431681569.1727005666,1727005857,lm.facebook.com,referral,(not set),hotel_1
1496,6857,998034607.1727005879,1727005893,google,cpc,hu_brand,hotel_1
1497,6858,212712095.1727005867,1727005938,google,cpc,hu_brand,hotel_1
1498,6859,773021193.1727005952,1727006090,google,cpc,,hotel_1
1499,6860,1422159539.1727006054,1727006155,seznam,organic,(not set),hotel_1
1500,6861,1664231612.1727006395,1727006267,google,organic,(not set),hotel_1
1501,6863,1094618499.1726119913,1727006446,m.facebook.com,referral,(not set),hotel_1
